State,Type,County,Violent crime,Murder and non-negligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ALABAMA ,Metro,Autauga,57,0,5,2,50,282,18,231,33,
ALABAMA ,Metro,Bibb,19,0,2,4,13,154,67,79,8,
ALABAMA ,Metro,Calhoun,38,0,8,7,23,813,286,525,2,
ALABAMA ,Metro,Etowah,62,1,4,0,57,485,73,383,29,
ALABAMA ,Metro,Geneva,51,1,8,2,40,265,13,229,23,
ALABAMA ,Metro,Hale,21,0,3,1,17,160,68,83,9,
ALABAMA ,Metro,Henry,31,2,3,2,24,111,40,54,17,
ALABAMA ,Metro,Houston,66,0,16,10,40,642,251,374,17,
ALABAMA ,Metro,Jefferson,349,5,51,109,184,"5,857","2,345","3,073",439,36
ALABAMA ,Metro,Limestone,37,2,6,5,24,569,181,342,46,
ALABAMA ,Metro,Madison,308,7,17,55,229,"2,420",839,"1,421",160,9
ALABAMA ,Metro,Mobile,250,5,28,30,187,"2,190",770,"1,223",197,
ALABAMA ,Metro,Morgan,40,0,6,7,27,406,257,145,4,
ALABAMA ,Metro,Russell,110,0,5,3,102,429,167,221,41,
ALABAMA ,Metro,Shelby,222,1,19,14,188,"1,291",323,862,106,
ALABAMA ,Metro,St. Clair,13,1,2,0,10,309,186,113,10,
ALABAMA ,Metro,Tuscaloosa,190,2,13,21,154,"1,753",611,"1,000",142,
ALABAMA ,Metro,Walker,3,0,0,0,3,,78,,54,
ALABAMA,Non-Metro,Barbour,1,0,0,0,1,,,,1,
ALABAMA,Non-Metro,Butler,28,1,3,0,24,,,107,14,
ALABAMA,Non-Metro,Choctaw,4,0,0,0,4,13,8,5,0,
ALABAMA,Non-Metro,Clarke,63,7,5,2,49,43,26,9,8,
ALABAMA,Non-Metro,Clay,4,0,0,0,4,5,1,4,0,
ALABAMA,Non-Metro,Cleburne,24,0,9,1,14,189,78,94,17,
ALABAMA,Non-Metro,Coffee,21,0,2,0,19,148,57,76,15,
ALABAMA,Non-Metro,Conecuh,32,0,5,2,25,120,25,87,8,
ALABAMA,Non-Metro,Covington,36,0,4,0,32,215,87,122,6,
ALABAMA,Non-Metro,Crenshaw,34,0,2,0,32,,,120,14,
ALABAMA,Non-Metro,Cullman,95,3,14,6,72,"1,216",350,824,42,
ALABAMA,Non-Metro,Dale,29,0,9,0,20,148,10,127,11,
ALABAMA,Non-Metro,Dallas,72,0,5,6,61,454,143,276,35,
ALABAMA,Non-Metro,Escambia,27,1,4,1,21,183,51,128,4,
ALABAMA,Non-Metro,Fayette,7,0,0,0,7,,,57,17,
ALABAMA,Non-Metro,Franklin,34,0,1,2,31,170,54,105,11,
ALABAMA,Non-Metro,Jackson,38,0,4,1,33,,,,20,
ALABAMA,Non-Metro,Lamar,1,0,0,0,1,2,2,0,0,
ALABAMA,Non-Metro,Macon,19,0,1,3,15,6,2,2,2,
