County,State,Value
Autauga County,Alabama,3.13
Blount County,Alabama,3.07
Chambers County,Alabama,2.97
Chilton County,Alabama,3.06
Colbert County,Alabama,2.90
Dale County,Alabama,2.98
Elmore County,Alabama,3.04
Hale County,Alabama,3.05
Lawrence County,Alabama,2.95
Limestone County,Alabama,3.00
Monroe County,Alabama,3.01
Pickens County,Alabama,3.00
Talladega County,Alabama,2.98
Bethel Census Area,Alaska,4.22
Hoonah-Angoon Census Area,Alaska,2.93
Kenai Peninsula Borough,Alaska,2.98
Kodiak Island Borough,Alaska,3.34
Lake and Peninsula Borough,Alaska,3.38
Nome Census Area,Alaska,3.91
Northwest Arctic Borough,Alaska,4.32
Prince of Wales-Hyder Census Area,Alaska,3.08
Van Buren County,Arkansas,2.81
White County,Arkansas,2.98
Amador County,California,2.75
Glenn County,California,3.32
Lake County,California,2.94
Mariposa County,California,2.77
Napa County,California,3.23
Shasta County,California,2.94
Stanislaus County,California,3.52
Yuba County,California,3.39
Alamosa County,Colorado,3.07
Boulder County,Colorado,3.00
Broomfield County,Colorado,3.12
Crowley County,Colorado,2.99
Denver County,Colorado,3.15
Douglas County,Colorado,3.20
Gilpin County,Colorado,2.70
Gunnison County,Colorado,2.79
Huerfano County,Colorado,2.71
Las Animas County,Colorado,2.89
Montrose County,Colorado,2.97
Phillips County,Colorado,3.04
Pueblo County,Colorado,3.02
San Juan County,Colorado,2.85
Weld County,Colorado,3.24
Windham County,Connecticut,3.01
Alachua County,Florida,2.91
Columbia County,Florida,3.00
Flagler County,Florida,2.82
Highlands County,Florida,2.74
Holmes County,Florida,2.96
Lafayette County,Florida,3.10
Liberty County,Florida,3.05
Marion County,Florida,2.80
Monroe County,Florida,2.70
Okeechobee County,Florida,3.13
Putnam County,Florida,2.97
Suwannee County,Florida,2.97
Atkinson County,Georgia,3.29
Baker County,Georgia,3.14
Barrow County,Georgia,3.28
Bleckley County,Georgia,2.99
Butts County,Georgia,3.13
Candler County,Georgia,3.15
Chattooga County,Georgia,3.02
Clarke County,Georgia,3.00
Colquitt County,Georgia,3.21
Cook County,Georgia,3.16
Decatur County,Georgia,3.10
Emanuel County,Georgia,3.10
Fayette County,Georgia,3.15
Gilmer County,Georgia,2.92
Valdez-Cordova Census Area,Alaska,3.02
Wade Hampton Census Area,Alaska,4.74
Cochise County,Arizona,3.02
Maricopa County,Arizona,3.25
Arkansas County,Arkansas,2.87
Boone County,Arkansas,2.90
Clark County,Arkansas,2.87
Conway County,Arkansas,2.98
Drew County,Arkansas,2.93
Garland County,Arkansas,2.81
Howard County,Arkansas,3.05
Johnson County,Arkansas,3.04
Lonoke County,Arkansas,3.09
Montgomery County,Arkansas,2.82
Newton County,Arkansas,2.85
Poinsett County,Arkansas,2.98
St. Francis County,Arkansas,3.08
Searcy County,Arkansas,2.81
Wheeler County,Georgia,3.05
Whitfield County,Georgia,3.36
Wilkinson County,Georgia,3.06
Maui County,Hawaii,3.36
Boise County,Idaho,2.80
Boundary County,Idaho,3.00
Gem County,Idaho,3.01
Jefferson County,Idaho,3.57
Latah County,Idaho,2.89
Minidoka County,Idaho,3.27
Teton County,Idaho,3.33
Bond County,Illinois,2.93
Brown County,Illinois,2.88
Champaign County,Illinois,2.95
Coles County,Illinois,2.87
Cumberland County,Illinois,2.95
Effingham County,Illinois,3.03
Franklin County,Illinois,2.88
Hamilton County,Illinois,2.91
Henderson County,Illinois,2.78
Iroquois County,Illinois,2.95
Johnson County,Illinois,2.85
Knox County,Illinois,2.84
Livingston County,Illinois,2.98
Marion County,Illinois,2.91
Menard County,Illinois,2.87
Moultrie County,Illinois,3.01
Perry County,Illinois,2.90
Putnam County,Illinois,2.85
Schuyler County,Illinois,2.83
Stark County,Illinois,2.93
Tazewell County,Illinois,2.94
Wayne County,Illinois,2.86
Woodford County,Illinois,3.07
Benton County,Indiana,3.06
Cass County,Indiana,3.08
Daviess County,Indiana,3.29
Dubois County,Indiana,3.03
Franklin County,Indiana,3.07
Hamilton County,Indiana,3.19
Howard County,Indiana,2.92
Jennings County,Indiana,3.06
Kosciusko County,Indiana,3.07
Madison County,Indiana,2.93
Martin County,Indiana,2.98
Noble County,Indiana,3.16
Ohio County,Indiana,2.91
Pulaski County,Indiana,2.97
Ripley County,Indiana,3.08
Starke County,Indiana,3.02
Tipton County,Indiana,2.93
Warrick County,Indiana,3.02
Wells County,Indiana,3.00
Whitley County,Indiana,2.99
Benton County,Iowa,2.96
Bremer County,Iowa,2.88
Calhoun County,Iowa,2.76
Cherokee County,Iowa,2.78
Clarke County,Iowa,3.01
Glascock County,Georgia,3.14
Gordon County,Georgia,3.20
Grady County,Georgia,3.10
Hall County,Georgia,3.35
Jackson County,Georgia,3.18
Jones County,Georgia,3.10
Laurens County,Georgia,3.05
Lumpkin County,Georgia,3.00
Marion County,Georgia,3.05
Miller County,Georgia,3.00
Newton County,Georgia,3.27
Peach County,Georgia,3.07
Polk County,Georgia,3.20
Randolph County,Georgia,2.97
Seminole County,Georgia,2.95
Taliaferro County,Georgia,2.83
Tift County,Georgia,3.12
Troup County,Georgia,3.12
Upson County,Georgia,3.00
Washington County,Georgia,3.10
Clay County,Kansas,2.89
Cloud County,Kansas,2.84
Decatur County,Kansas,2.68
Elk County,Kansas,2.76
Graham County,Kansas,2.70
Hamilton County,Kansas,3.16
Jackson County,Kansas,3.04
Kingman County,Kansas,2.93
Lincoln County,Kansas,2.83
Marion County,Kansas,2.88
Morris County,Kansas,2.79
Ness County,Kansas,2.80
Pawnee County,Kansas,2.86
Reno County,Kansas,2.94
Rooks County,Kansas,2.85
Sedgwick County,Kansas,3.15
Stafford County,Kansas,2.90
Trego County,Kansas,2.71
Wichita County,Kansas,2.97
Wilson County,Kansas,2.91
Adair County,Kentucky,2.91
Allen County,Kentucky,2.99
Bell County,Kentucky,2.90
Breathitt County,Kentucky,2.97
Butler County,Kentucky,2.91
Carter County,Kentucky,2.97
Edmonson County,Kentucky,2.89
Estill County,Kentucky,2.92
Gallatin County,Kentucky,3.11
Grant County,Kentucky,3.18
Hart County,Kentucky,3.05
Hopkins County,Kentucky,2.90
Kenton County,Kentucky,3.09
Lee County,Kentucky,2.86
Logan County,Kentucky,2.97
Madison County,Kentucky,2.92
Metcalfe County,Kentucky,2.97
Montgomery County,Kentucky,2.96
Nelson County,Kentucky,3.01
Ohio County,Kentucky,3.02
Owen County,Kentucky,3.00
Powell County,Kentucky,3.03
Rockcastle County,Kentucky,2.94
Trigg County,Kentucky,2.87
Webster County,Kentucky,2.98
Allen Parish,Louisiana,3.06
Bienville Parish,Louisiana,2.97
Claiborne Parish,Louisiana,2.94
Iberville Parish,Louisiana,3.17
Lafayette Parish,Louisiana,3.06
Livingston Parish,Louisiana,3.16
Pointe Coupee Parish,Louisiana,3.02
St. Charles Parish,Louisiana,3.19
St. James Parish,Louisiana,3.28
Union Parish,Louisiana,2.94
