State,Type,County,Violent crime,Property crime
ALABAMA ,Metro,Autauga,57,282
ALABAMA ,Metro,Bibb,19,154
ALABAMA ,Metro,Calhoun,38,813
ALABAMA ,Metro,Etowah,62,485
ALABAMA ,Metro,Geneva,51,265
ALABAMA ,Metro,Hale,21,160
ALABAMA ,Metro,Henry,31,111
ALABAMA ,Metro,Houston,66,642
ALABAMA ,Metro,Jefferson,349,"5,857"
ALABAMA ,Metro,Limestone,37,569
ALABAMA ,Metro,Madison,308,"2,420"
ALABAMA ,Metro,Mobile,250,"2,190"
ALABAMA ,Metro,Morgan,40,406
ALABAMA ,Metro,Russell,110,429
ALABAMA ,Metro,Shelby,222,"1,291"
ALABAMA ,Metro,St. Clair,13,309
ALABAMA ,Metro,Tuscaloosa,190,"1,753"
ALABAMA ,Metro,Walker,3,
ALABAMA,Non-Metro,Barbour,1,
ALABAMA,Non-Metro,Butler,28,
ALABAMA,Non-Metro,Choctaw,4,13
ALABAMA,Non-Metro,Clarke,63,43
ALABAMA,Non-Metro,Clay,4,5
ALABAMA,Non-Metro,Cleburne,24,189
ALABAMA,Non-Metro,Coffee,21,148
ALABAMA,Non-Metro,Conecuh,32,120
ALABAMA,Non-Metro,Covington,36,215
ALABAMA,Non-Metro,Crenshaw,34,
ALABAMA,Non-Metro,Cullman,95,"1,216"
ALABAMA,Non-Metro,Dale,29,148
ALABAMA,Non-Metro,Dallas,72,454
ALABAMA,Non-Metro,Escambia,27,183
ALABAMA,Non-Metro,Fayette,7,
ALABAMA,Non-Metro,Franklin,34,170
ALABAMA,Non-Metro,Jackson,38,
ALABAMA,Non-Metro,Lamar,1,2
ALABAMA,Non-Metro,Macon,19,6
ALABAMA,Non-Metro,Marengo,17,163
ALABAMA,Non-Metro,Monroe,29,90
ALABAMA,Non-Metro,Pickens,15,47
ALABAMA,Non-Metro,Pike,14,99
ALABAMA,Non-Metro,Randolph,41,
ALABAMA,Non-Metro,Talladega,43,838
ALABAMA,Non-Metro,Tallapoosa,6,
ALABAMA,Non-Metro,Wilcox,3,44
ALABAMA,Non-Metro,Winston,26,200
ARIZONA,Metro,Coconino,83,530
ARIZONA,Metro,Maricopa,989,"5,117"
ARIZONA,Metro,Mohave,135,"2,140"
ARIZONA,Metro,Pima,644,"11,752"
ARIZONA,Metro,Pinal,200,"3,777"
ARIZONA,Metro,Yavapai,277,"1,382"
ARIZONA,Metro,Yuma,80,879
ARIZONA,Non-Metro,Cochise,404,903
ARIZONA,Non-Metro,Gila,45,321
ARIZONA,Non-Metro,La Paz,65,356
ARIZONA,Non-Metro,Navajo,60,749
ARKANSAS,Metro,Benton,160,531
ARKANSAS,Metro,Cleveland,6,108
ARKANSAS,Metro,Craighead,35,287
ARKANSAS,Metro,Crawford,143,534
ARKANSAS,Metro,Crittenden,179,470
ARKANSAS,Metro,Faulkner,58,757
ARKANSAS,Metro,Franklin,17,190
ARKANSAS,Metro,Grant,15,229
ARKANSAS,Metro,Jefferson,75,422
ARKANSAS,Metro,Lincoln,5,79
ARKANSAS,Metro,Lonoke,138,664
ARKANSAS,Metro,Madison,47,89
ARKANSAS,Metro,Perry,22,57
ARKANSAS,Metro,Poinsett,72,73
ARKANSAS,Metro,Pulaski,348,"1,849"
ARKANSAS,Metro,Sebastian,65,362
ARKANSAS,Metro,Washington,168,515
ARKANSAS,Non-Metro,Arkansas,11,102
ARKANSAS,Non-Metro,Ashley,32,226
ARKANSAS,Non-Metro,Baxter,31,529
ARKANSAS,Non-Metro,Carroll,39,225
ARKANSAS,Non-Metro,Chicot,2,97
ARKANSAS,Non-Metro,Clark,29,187
ARKANSAS,Non-Metro,Cleburne,39,413
ARKANSAS,Non-Metro,Columbia,58,173
ARKANSAS,Non-Metro,Conway,36,342
ARKANSAS,Non-Metro,Cross,38,56
ARKANSAS,Non-Metro,Dallas,2,31
ARKANSAS,Non-Metro,Drew,32,106
