State,Type,County,Violent crime,Property crime
ALABAMA ,Metro,Autauga,57.00,282.00
ALABAMA ,Metro,Bibb,19.00,154.00
ALABAMA ,Metro,Calhoun,38.00,813.00
ALABAMA ,Metro,Etowah,62.00,485.00
ALABAMA ,Metro,Geneva,51.00,265.00
ALABAMA ,Metro,Hale,21.00,160.00
ALABAMA ,Metro,Henry,31.00,111.00
ALABAMA ,Metro,Houston,66.00,642.00
ALABAMA ,Metro,Jefferson,349.00,5857.00
ALABAMA ,Metro,Limestone,37.00,569.00
ALABAMA ,Metro,Madison,308.00,2420.00
ALABAMA ,Metro,Mobile,250.00,2190.00
ALABAMA ,Metro,Morgan,40.00,406.00
ALABAMA ,Metro,Russell,110.00,429.00
ALABAMA ,Metro,Shelby,222.00,1291.00
ALABAMA ,Metro,St. Clair,13.00,309.00
ALABAMA ,Metro,Tuscaloosa,190.00,1753.00
ALABAMA ,Metro,Walker,3.00,
ALABAMA,Non-Metro,Barbour,1.00,
ALABAMA,Non-Metro,Butler,28.00,
ALABAMA,Non-Metro,Choctaw,4.00,13.00
ALABAMA,Non-Metro,Clarke,63.00,43.00
ALABAMA,Non-Metro,Clay,4.00,5.00
ALABAMA,Non-Metro,Cleburne,24.00,189.00
ALABAMA,Non-Metro,Coffee,21.00,148.00
ALABAMA,Non-Metro,Conecuh,32.00,120.00
ALABAMA,Non-Metro,Covington,36.00,215.00
ALABAMA,Non-Metro,Crenshaw,34.00,
ALABAMA,Non-Metro,Cullman,95.00,1216.00
ALABAMA,Non-Metro,Dale,29.00,148.00
ALABAMA,Non-Metro,Dallas,72.00,454.00
ALABAMA,Non-Metro,Escambia,27.00,183.00
ALABAMA,Non-Metro,Fayette,7.00,
ALABAMA,Non-Metro,Franklin,34.00,170.00
ALABAMA,Non-Metro,Jackson,38.00,
ALABAMA,Non-Metro,Lamar,1.00,2.00
ALABAMA,Non-Metro,Macon,19.00,6.00
ALABAMA,Non-Metro,Marengo,17.00,163.00
ALABAMA,Non-Metro,Monroe,29.00,90.00
ALABAMA,Non-Metro,Pickens,15.00,47.00
ALABAMA,Non-Metro,Pike,14.00,99.00
ALABAMA,Non-Metro,Randolph,41.00,
ALABAMA,Non-Metro,Talladega,43.00,838.00
ALABAMA,Non-Metro,Tallapoosa,6.00,
ALABAMA,Non-Metro,Wilcox,3.00,44.00
ALABAMA,Non-Metro,Winston,26.00,200.00
ARIZONA,Metro,Coconino,83.00,530.00
ARIZONA,Metro,Maricopa,989.00,5117.00
ARIZONA,Metro,Mohave,135.00,2140.00
ARIZONA,Metro,Pima,644.00,11752.00
ARIZONA,Metro,Pinal,200.00,3777.00
ARIZONA,Metro,Yavapai,277.00,1382.00
ARIZONA,Metro,Yuma,80.00,879.00
ARIZONA,Non-Metro,Cochise,404.00,903.00
ARIZONA,Non-Metro,Gila,45.00,321.00
ARIZONA,Non-Metro,La Paz,65.00,356.00
ARIZONA,Non-Metro,Navajo,60.00,749.00
ARKANSAS,Metro,Benton,160.00,531.00
ARKANSAS,Metro,Cleveland,6.00,108.00
ARKANSAS,Metro,Craighead,35.00,287.00
ARKANSAS,Metro,Crawford,143.00,534.00
ARKANSAS,Metro,Crittenden,179.00,470.00
ARKANSAS,Metro,Faulkner,58.00,757.00
ARKANSAS,Metro,Franklin,17.00,190.00
ARKANSAS,Metro,Grant,15.00,229.00
ARKANSAS,Metro,Jefferson,75.00,422.00
ARKANSAS,Metro,Lincoln,5.00,79.00
ARKANSAS,Metro,Lonoke,138.00,664.00
ARKANSAS,Metro,Madison,47.00,89.00
ARKANSAS,Metro,Perry,22.00,57.00
ARKANSAS,Metro,Poinsett,72.00,73.00
ARKANSAS,Metro,Pulaski,348.00,1849.00
ARKANSAS,Metro,Sebastian,65.00,362.00
ARKANSAS,Metro,Washington,168.00,515.00
ARKANSAS,Non-Metro,Arkansas,11.00,102.00
ARKANSAS,Non-Metro,Ashley,32.00,226.00
ARKANSAS,Non-Metro,Baxter,31.00,529.00
ARKANSAS,Non-Metro,Carroll,39.00,225.00
ARKANSAS,Non-Metro,Chicot,2.00,97.00
ARKANSAS,Non-Metro,Clark,29.00,187.00
ARKANSAS,Non-Metro,Cleburne,39.00,413.00
ARKANSAS,Non-Metro,Columbia,58.00,173.00
ARKANSAS,Non-Metro,Conway,36.00,342.00
ARKANSAS,Non-Metro,Cross,38.00,56.00
ARKANSAS,Non-Metro,Dallas,2.00,31.00
ARKANSAS,Non-Metro,Drew,32.00,106.00
ARKANSAS,Non-Metro,Fulton,27.00,79.00
ARKANSAS,Non-Metro,Greene,7.00,185.00
ARKANSAS,Non-Metro,Howard,13.00,46.00
ARKANSAS,Non-Metro,Independence,210.00,1414.00
ARKANSAS,Non-Metro,Izard,7.00,124.00
ARKANSAS,Non-Metro,Jackson,30.00,176.00
ARKANSAS,Non-Metro,Johnson,36.00,173.00
ARKANSAS,Non-Metro,Lawrence,19.00,184.00
ARKANSAS,Non-Metro,Little River,12.00,72.00
ARKANSAS,Non-Metro,Logan,23.00,248.00
ARKANSAS,Non-Metro,Marion,26.00,147.00
ARKANSAS,Non-Metro,Mississippi,29.00,389.00
ARKANSAS,Non-Metro,Monroe,5.00,78.00
ARKANSAS,Non-Metro,Montgomery,3.00,19.00
ARKANSAS,Non-Metro,Nevada,5.00,42.00
ARKANSAS,Non-Metro,Newton,7.00,104.00
ARKANSAS,Non-Metro,Pike,4.00,44.00
ARKANSAS,Non-Metro,Polk,50.00,232.00
ARKANSAS,Non-Metro,Pope,38.00,340.00
ARKANSAS,Non-Metro,Randolph,2.00,45.00
ARKANSAS,Non-Metro,Scott,6.00,85.00
ARKANSAS,Non-Metro,Searcy,8.00,30.00
ARKANSAS,Non-Metro,Sevier,14.00,178.00
ARKANSAS,Non-Metro,St. Francis,31.00,408.00
ARKANSAS,Non-Metro,Stone,21.00,109.00
ARKANSAS,Non-Metro,Union,46.00,370.00
ARKANSAS,Non-Metro,Van Buren,53.00,226.00
ARKANSAS,Non-Metro,White,70.00,775.00
ARKANSAS,Non-Metro,Yell,6.00,16.00
CALIFORNIA,Metro,Alameda,698.00,2212.00
CALIFORNIA,Metro,Butte,133.00,1296.00
CALIFORNIA,Metro,Contra Costa,449.00,2754.00
CALIFORNIA,Metro,El Dorado,256.00,1990.00
CALIFORNIA,Metro,Fresno,727.00,4442.00
CALIFORNIA,Metro,Imperial,265.00,600.00
CALIFORNIA,Metro,Kern,1977.00,10246.00
CALIFORNIA,Metro,Kings,140.00,594.00
CALIFORNIA,Metro,Los Angeles,6497.00,17310.00
CALIFORNIA,Metro,Madera,233.00,1357.00
CALIFORNIA,Metro,Marin,115.00,813.00
CALIFORNIA,Metro,Merced,484.00,2026.00
CALIFORNIA,Metro,Monterey,228.00,1316.00
CALIFORNIA,Metro,Napa,56.00,379.00
CALIFORNIA,Metro,Orange,187.00,1275.00
CALIFORNIA,Metro,Placer,298.00,1950.00
CALIFORNIA,Metro,Riverside,1018.00,10310.00
CALIFORNIA,Metro,Sacramento,2902.00,14506.00
CALIFORNIA,Metro,San Benito,53.00,336.00
CALIFORNIA,Metro,San Bernardino,1093.00,5580.00
CALIFORNIA,Metro,San Diego,1432.00,5985.00
CALIFORNIA,Metro,San Joaquin,738.00,4418.00
CALIFORNIA,Metro,San Luis Obispo,241.00,1295.00
CALIFORNIA,Metro,San Mateo,224.00,1770.00
CALIFORNIA,Metro,Santa Barbara,285.00,1481.00
CALIFORNIA,Metro,Santa Clara,254.00,1762.00
CALIFORNIA,Metro,Santa Cruz,301.00,2232.00
CALIFORNIA,Metro,Shasta,582.00,1058.00
CALIFORNIA,Metro,Sonoma,587.00,1388.00
CALIFORNIA,Metro,Stanislaus,414.00,3002.00
CALIFORNIA,Metro,Sutter,143.00,661.00
CALIFORNIA,Metro,Tulare,521.00,
CALIFORNIA,Metro,Ventura,192.00,1323.00
CALIFORNIA,Metro,Yolo,62.00,364.00
CALIFORNIA,Metro,Yuba,159.00,1031.00
CALIFORNIA,Non-Metro,Alpine,10.00,73.00
CALIFORNIA,Non-Metro,Amador,60.00,485.00
CALIFORNIA,Non-Metro,Calaveras,82.00,654.00
CALIFORNIA,Non-Metro,Colusa,22.00,257.00
CALIFORNIA,Non-Metro,Del Norte,82.00,377.00
CALIFORNIA,Non-Metro,Glenn,16.00,180.00
CALIFORNIA,Non-Metro,Humboldt,242.00,1208.00
CALIFORNIA,Non-Metro,Inyo,47.00,139.00
CALIFORNIA,Non-Metro,Lake,199.00,895.00
CALIFORNIA,Non-Metro,Lassen,36.00,129.00
CALIFORNIA,Non-Metro,Mariposa,37.00,294.00
CALIFORNIA,Non-Metro,Mendocino,310.00,551.00
CALIFORNIA,Non-Metro,Modoc,12.00,60.00
CALIFORNIA,Non-Metro,Mono,13.00,71.00
CALIFORNIA,Non-Metro,Nevada,137.00,578.00
CALIFORNIA,Non-Metro,Plumas,109.00,326.00
CALIFORNIA,Non-Metro,Sierra,19.00,44.00
CALIFORNIA,Non-Metro,Siskiyou,37.00,232.00
CALIFORNIA,Non-Metro,Tehama,181.00,278.00
CALIFORNIA,Non-Metro,Trinity,34.00,98.00
CALIFORNIA,Non-Metro,Tuolumne,97.00,757.00
COLORADO,Metro,Adams,477.00,2450.00
COLORADO,Metro,Arapahoe,204.00,1403.00
COLORADO,Metro,Boulder,56.00,549.00
COLORADO,Metro,Clear Creek,21.00,80.00
COLORADO,Metro,Douglas,269.00,1882.00
COLORADO,Metro,Gilpin,12.00,23.00
COLORADO,Metro,Jefferson,183.00,2572.00
COLORADO,Metro,Larimer,134.00,927.00
COLORADO,Metro,Mesa,163.00,1243.00
COLORADO,Metro,Park,20.00,129.00
COLORADO,Metro,Pueblo,31.00,1604.00
COLORADO,Metro,Teller,9.00,81.00
COLORADO,Metro,Weld,120.00,834.00
COLORADO,Non-Metro,Alamosa,1.00,18.00
COLORADO,Non-Metro,Baca,0.00,3.00
COLORADO,Non-Metro,Bent,2.00,36.00
COLORADO,Non-Metro,Chaffee,11.00,67.00
COLORADO,Non-Metro,Cheyenne,0.00,3.00
COLORADO,Non-Metro,Crowley,4.00,0.00
COLORADO,Non-Metro,Delta,19.00,164.00
COLORADO,Non-Metro,Dolores,0.00,28.00
COLORADO,Non-Metro,Eagle,44.00,433.00
COLORADO,Non-Metro,Fremont,,71.00
COLORADO,Non-Metro,Grand,12.00,130.00
COLORADO,Non-Metro,Gunnison,10.00,18.00
COLORADO,Non-Metro,Kit Carson,2.00,29.00
COLORADO,Non-Metro,Lake,2.00,20.00
COLORADO,Non-Metro,Las Animas,0.00,0.00
COLORADO,Non-Metro,Lincoln,2.00,2.00
COLORADO,Non-Metro,Logan,10.00,65.00
COLORADO,Non-Metro,Moffat,4.00,44.00
COLORADO,Non-Metro,Montezuma,42.00,120.00
COLORADO,Non-Metro,Montrose,21.00,157.00
COLORADO,Non-Metro,Morgan,2.00,52.00
COLORADO,Non-Metro,Otero,6.00,40.00
COLORADO,Non-Metro,Pitkin,7.00,56.00
COLORADO,Non-Metro,Prowers,5.00,29.00
COLORADO,Non-Metro,Rio Blanco,0.00,7.00
COLORADO,Non-Metro,Routt,11.00,49.00
COLORADO,Non-Metro,Saguache,12.00,26.00
COLORADO,Non-Metro,San Miguel,3.00,19.00
COLORADO,Non-Metro,Summit,12.00,289.00
COLORADO,Non-Metro,Washington,5.00,79.00
DELAWARE,Metro,New Castle,1251.00,6625.00
FLORIDA,Metro,Alachua,596.00,2788.00
FLORIDA,Metro,Baker,58.00,336.00
FLORIDA,Metro,Bay,358.00,2816.00
FLORIDA,Metro,Brevard,926.00,5348.00
FLORIDA,Metro,Broward,292.00,956.00
FLORIDA,Metro,Charlotte,353.00,3822.00
FLORIDA,Metro,Clay,710.00,3918.00
FLORIDA,Metro,Collier,977.00,4947.00
FLORIDA,Metro,Escambia,1928.00,10455.00
FLORIDA,Metro,Flagler,173.00,1952.00
FLORIDA,Metro,Gadsden,294.00,742.00
FLORIDA,Metro,Gilchrist,40.00,134.00
FLORIDA,Metro,Hernando,592.00,4479.00
FLORIDA,Metro,Hillsborough,3136.00,22442.00
FLORIDA,Metro,Indian River,313.00,2953.00
FLORIDA,Metro,Jefferson,126.00,171.00
FLORIDA,Metro,Lake,595.00,2813.00
FLORIDA,Metro,Lee,1347.00,9358.00
FLORIDA,Metro,Leon,273.00,1363.00
FLORIDA,Metro,Manatee,1533.00,9838.00
FLORIDA,Metro,Marion,1305.00,4860.00
FLORIDA,Metro,Martin,362.00,2787.00
FLORIDA,Metro,Miami-Dade,6927.00,45341.00
FLORIDA,Metro,Nassau,163.00,1137.00
FLORIDA,Metro,Okaloosa,454.00,3365.00
FLORIDA,Metro,Orange,5396.00,27117.00
FLORIDA,Metro,Osceola,885.00,5814.00
FLORIDA,Metro,Palm Beach,2232.00,16314.00
FLORIDA,Metro,Pasco,1292.00,12773.00
FLORIDA,Metro,Pinellas,1119.00,7609.00
FLORIDA,Metro,Polk,1308.00,10070.00
FLORIDA,Metro,Santa Rosa,222.00,1598.00
FLORIDA,Metro,Sarasota,697.00,7714.00
FLORIDA,Metro,Seminole,585.00,3361.00
FLORIDA,Metro,St. Johns,494.00,3603.00
FLORIDA,Metro,St. Lucie,257.00,1743.00
FLORIDA,Metro,Volusia,931.00,5335.00
FLORIDA,Metro,Wakulla,86.00,679.00
FLORIDA,Non-Metro,Bradford,62.00,344.00
FLORIDA,Non-Metro,Calhoun,12.00,68.00
FLORIDA,Non-Metro,Citrus,452.00,3203.00
FLORIDA,Non-Metro,Columbia,186.00,1275.00
FLORIDA,Non-Metro,DeSoto,172.00,811.00
FLORIDA,Non-Metro,Dixie,69.00,524.00
FLORIDA,Non-Metro,Franklin,96.00,145.00
FLORIDA,Non-Metro,Glades,39.00,245.00
FLORIDA,Non-Metro,Gulf,34.00,125.00
FLORIDA,Non-Metro,Hamilton,52.00,211.00
FLORIDA,Non-Metro,Hardee,57.00,527.00
FLORIDA,Non-Metro,Hendry,212.00,1130.00
FLORIDA,Non-Metro,Highlands,149.00,1736.00
FLORIDA,Non-Metro,Holmes,56.00,203.00
FLORIDA,Non-Metro,Jackson,204.00,771.00
FLORIDA,Non-Metro,Lafayette,20.00,39.00
FLORIDA,Non-Metro,Levy,123.00,922.00
FLORIDA,Non-Metro,Liberty,16.00,56.00
FLORIDA,Non-Metro,Madison,123.00,306.00
FLORIDA,Non-Metro,Monroe,152.00,2037.00
FLORIDA,Non-Metro,Okeechobee,193.00,976.00
FLORIDA,Non-Metro,Putnam,537.00,2653.00
FLORIDA,Non-Metro,Sumter,144.00,654.00
FLORIDA,Non-Metro,Suwannee,118.00,553.00
FLORIDA,Non-Metro,Taylor,50.00,167.00
FLORIDA,Non-Metro,Union,55.00,142.00
FLORIDA,Non-Metro,Walton,158.00,1145.00
FLORIDA,Non-Metro,Washington,9.00,241.00
GEORGIA,Metro,Augusta-Richmond,1084.00,14303.00
GEORGIA,Metro,Barrow,214.00,1170.00
GEORGIA,Metro,Bartow,224.00,2470.00
GEORGIA,Metro,Bibb,231.00,2520.00
GEORGIA,Metro,Brantley,32.00,284.00
GEORGIA,Metro,Brooks,43.00,302.00
GEORGIA,Metro,Bryan,17.00,353.00
GEORGIA,Metro,Burke,156.00,682.00
GEORGIA,Metro,Butts,36.00,550.00
GEORGIA,Metro,Carroll,362.00,1457.00
GEORGIA,Metro,Catoosa,71.00,1047.00
GEORGIA,Metro,Chatham,0.00,0.00
GEORGIA,Metro,Cherokee,133.00,2010.00
GEORGIA,Metro,Clarke,0.00,1.00
GEORGIA,Metro,Clayton,0.00,0.00
GEORGIA,Metro,Clayton,1031.00,9418.00
GEORGIA,Metro,Cobb,1.00,0.00
GEORGIA,Metro,Columbia,72.00,2323.00
GEORGIA,Metro,Coweta,91.00,1436.00
GEORGIA,Metro,Crawford,33.00,459.00
GEORGIA,Metro,Dade,37.00,200.00
GEORGIA,Metro,Dawson,18.00,478.00
GEORGIA,Metro,DeKalb,0.00,0.00
GEORGIA,Metro,DeKalb,3469.00,29924.00
GEORGIA,Metro,Douglas,153.00,2108.00
GEORGIA,Metro,Echols,8.00,45.00
GEORGIA,Metro,Effingham,57.00,297.00
GEORGIA,Metro,Fayette,31.00,555.00
GEORGIA,Metro,Floyd,34.00,24.00
GEORGIA,Metro,Floyd,180.00,1315.00
GEORGIA,Metro,Forsyth,202.00,1801.00
GEORGIA,Metro,Fulton,9.00,13.00
GEORGIA,Metro,Fulton,668.00,5544.00
GEORGIA,Metro,Glynn,0.00,0.00
GEORGIA,Metro,Glynn,253.00,3033.00
GEORGIA,Metro,Gwinnett,1675.00,16909.00
GEORGIA,Metro,Hall,187.00,2603.00
GEORGIA,Metro,Haralson,111.00,397.00
GEORGIA,Metro,Harris,8.00,407.00
GEORGIA,Metro,Heard,18.00,172.00
GEORGIA,Metro,Henry,304.00,4174.00
GEORGIA,Metro,Jasper,15.00,229.00
GEORGIA,Metro,Jones,35.00,533.00
GEORGIA,Metro,Lanier,8.00,99.00
GEORGIA,Metro,Lee,14.00,528.00
GEORGIA,Metro,Liberty,74.00,431.00
GEORGIA,Metro,Lowndes,37.00,941.00
GEORGIA,Metro,Madison,159.00,723.00
GEORGIA,Metro,McDuffie,23.00,248.00
GEORGIA,Metro,McIntosh,48.00,461.00
GEORGIA,Metro,Meriwether,24.00,430.00
GEORGIA,Metro,Murray,38.00,759.00
GEORGIA,Metro,Muscogee,0.00,0.00
GEORGIA,Metro,Newton,335.00,1775.00
GEORGIA,Metro,Oconee,99.00,531.00
GEORGIA,Metro,Oglethorpe,50.00,520.00
GEORGIA,Metro,Paulding,152.00,2418.00
GEORGIA,Metro,Pickens,27.00,409.00
GEORGIA,Metro,Pike,8.00,109.00
GEORGIA,Metro,Rockdale,325.00,2223.00
GEORGIA,Metro,Spalding,127.00,1595.00
GEORGIA,Metro,Terrell,21.00,105.00
GEORGIA,Metro,Twiggs,12.00,166.00
GEORGIA,Metro,Walker,208.00,1014.00
GEORGIA,Metro,Walton,112.00,1007.00
GEORGIA,Metro,Whitfield,180.00,1729.00
GEORGIA,Metro,Worth,2.00,191.00
GEORGIA,Non-Metro,Baldwin,291.00,994.00
GEORGIA,Non-Metro,Banks,50.00,536.00
GEORGIA,Non-Metro,Ben Hill,15.00,223.00
GEORGIA,Non-Metro,Berrien,23.00,214.00
GEORGIA,Non-Metro,Bleckley,12.00,171.00
GEORGIA,Non-Metro,Bulloch,25.00,721.00
GEORGIA,Non-Metro,Calhoun,4.00,46.00
GEORGIA,Non-Metro,Camden,47.00,405.00
