County,State,Value
Autauga County,Alabama,37.00
Blount County,Alabama,39.00
Chambers County,Alabama,41.50
Chilton County,Alabama,37.60
Colbert County,Alabama,41.80
Dale County,Alabama,36.10
Elmore County,Alabama,37.80
Hale County,Alabama,40.00
Lawrence County,Alabama,40.60
Limestone County,Alabama,38.40
Monroe County,Alabama,40.10
Pickens County,Alabama,41.90
Talladega County,Alabama,39.30
Bethel Census Area,Alaska,26.20
Hoonah-Angoon Census Area,Alaska,46.00
Kenai Peninsula Borough,Alaska,40.60
Kodiak Island Borough,Alaska,32.50
Lake and Peninsula Borough,Alaska,30.80
Nome Census Area,Alaska,27.60
Northwest Arctic Borough,Alaska,25.70
Prince of Wales-Hyder Census Area,Alaska,39.90
Van Buren County,Arkansas,46.60
White County,Arkansas,36.00
Amador County,California,48.20
Glenn County,California,35.30
Lake County,California,45.00
Mariposa County,California,49.20
Napa County,California,39.70
Shasta County,California,41.80
Stanislaus County,California,32.90
Yuba County,California,32.10
Alamosa County,Colorado,32.90
Boulder County,Colorado,35.80
Broomfield County,Colorado,36.40
Crowley County,Colorado,38.90
Denver County,Colorado,33.70
Douglas County,Colorado,36.60
Gilpin County,Colorado,45.60
Gunnison County,Colorado,34.30
Huerfano County,Colorado,51.80
Las Animas County,Colorado,43.90
Montrose County,Colorado,42.00
Phillips County,Colorado,42.80
Pueblo County,Colorado,38.70
San Juan County,Colorado,43.80
Weld County,Colorado,33.10
Windham County,Connecticut,39.20
Alachua County,Florida,30.10
Columbia County,Florida,39.90
Flagler County,Florida,47.50
Highlands County,Florida,51.50
Holmes County,Florida,41.30
Lafayette County,Florida,36.20
Liberty County,Florida,37.00
Marion County,Florida,47.30
Monroe County,Florida,46.40
Okeechobee County,Florida,38.60
Putnam County,Florida,43.40
Suwannee County,Florida,42.20
Atkinson County,Georgia,33.40
Baker County,Georgia,41.60
Barrow County,Georgia,33.60
Bleckley County,Georgia,35.90
Butts County,Georgia,38.10
Candler County,Georgia,37.60
Chattooga County,Georgia,39.30
Clarke County,Georgia,25.90
Colquitt County,Georgia,34.80
Cook County,Georgia,36.40
Decatur County,Georgia,37.70
Emanuel County,Georgia,36.80
Fayette County,Georgia,42.40
Gilmer County,Georgia,43.40
