County,State,Value
Autauga County,Alabama,12.00
Blount County,Alabama,14.70
Chambers County,Alabama,16.70
Chilton County,Alabama,13.60
Colbert County,Alabama,17.40
Dale County,Alabama,13.50
Elmore County,Alabama,11.90
Hale County,Alabama,15.00
Lawrence County,Alabama,14.60
Limestone County,Alabama,12.30
Monroe County,Alabama,15.70
Pickens County,Alabama,16.90
Talladega County,Alabama,14.10
Bethel Census Area,Alaska,6.10
Hoonah-Angoon Census Area,Alaska,13.40
Kenai Peninsula Borough,Alaska,11.30
Kodiak Island Borough,Alaska,6.70
Lake and Peninsula Borough,Alaska,7.80
Nome Census Area,Alaska,6.40
Northwest Arctic Borough,Alaska,6.00
Prince of Wales-Hyder Census Area,Alaska,10.10
Van Buren County,Arkansas,22.70
White County,Arkansas,14.10
Amador County,California,20.60
Glenn County,California,13.30
Lake County,California,17.70
Mariposa County,California,20.90
Napa County,California,15.10
Shasta County,California,16.90
Stanislaus County,California,10.70
Yuba County,California,10.10
Alamosa County,Colorado,11.30
Boulder County,Colorado,10.00
Broomfield County,Colorado,9.90
Crowley County,Colorado,10.50
Denver County,Colorado,10.40
Douglas County,Colorado,7.10
Gilpin County,Colorado,9.40
Gunnison County,Colorado,8.80
Huerfano County,Colorado,25.20
Las Animas County,Colorado,17.70
Montrose County,Colorado,17.80
Phillips County,Colorado,20.70
Pueblo County,Colorado,15.30
San Juan County,Colorado,12.30
Weld County,Colorado,9.60
Windham County,Connecticut,12.80
Alachua County,Florida,10.80
Columbia County,Florida,15.40
Flagler County,Florida,24.50
Highlands County,Florida,32.20
Holmes County,Florida,17.20
Lafayette County,Florida,12.20
Liberty County,Florida,10.60
Marion County,Florida,25.80
Monroe County,Florida,17.10
Okeechobee County,Florida,17.00
Putnam County,Florida,18.90
Suwannee County,Florida,18.90
Atkinson County,Georgia,10.60
Baker County,Georgia,15.40
Barrow County,Georgia,9.30
Bleckley County,Georgia,15.10
Butts County,Georgia,12.60
Candler County,Georgia,14.40
Chattooga County,Georgia,14.60
Clarke County,Georgia,8.50
Colquitt County,Georgia,12.90
Cook County,Georgia,13.50
Decatur County,Georgia,13.90
Emanuel County,Georgia,14.00
Fayette County,Georgia,12.70
Gilmer County,Georgia,17.70
Valdez-Cordova Census Area,Alaska,8.30
Wade Hampton Census Area,Alaska,5.40
Cochise County,Arizona,17.30
Maricopa County,Arizona,12.10
Arkansas County,Arkansas,16.40
Boone County,Arkansas,18.10
Clark County,Arkansas,14.80
Conway County,Arkansas,16.90
Drew County,Arkansas,14.80
Garland County,Arkansas,20.90
Howard County,Arkansas,15.30
Johnson County,Arkansas,14.70
Lonoke County,Arkansas,11.20
Montgomery County,Arkansas,22.40
Newton County,Arkansas,20.40
Poinsett County,Arkansas,15.90
St. Francis County,Arkansas,12.20
Searcy County,Arkansas,21.30
Wheeler County,Georgia,11.90
Whitfield County,Georgia,11.20
