County,State,Value
Autauga County,Alabama,0.4
Blount County,Alabama,0.5
Chambers County,Alabama,0.2
Chilton County,Alabama,0.4
Colbert County,Alabama,0.5
Dale County,Alabama,0.7
Elmore County,Alabama,0.4
Hale County,Alabama,0.2
Lawrence County,Alabama,5.7
Limestone County,Alabama,0.7
Monroe County,Alabama,1.1
Pickens County,Alabama,0.1
Talladega County,Alabama,0.3
Bethel Census Area,Alaska,82.9
Hoonah-Angoon Census Area,Alaska,41.4
Kenai Peninsula Borough,Alaska,7.4
Kodiak Island Borough,Alaska,13.2
Lake and Peninsula Borough,Alaska,65.1
Nome Census Area,Alaska,75.8
Northwest Arctic Borough,Alaska,81.4
Prince of Wales-Hyder Census Area,Alaska,39.7
Van Buren County,Arkansas,0.7
White County,Arkansas,0.6
Amador County,California,1.8
Glenn County,California,2.2
Lake County,California,3.2
Mariposa County,California,2.9
Napa County,California,0.8
Shasta County,California,2.8
Stanislaus County,California,1.1
Yuba County,California,2.3
Alamosa County,Colorado,2.8
Boulder County,Colorado,0.6
Broomfield County,Colorado,0.6
Crowley County,Colorado,2.4
Denver County,Colorado,1.4
Douglas County,Colorado,0.4
Gilpin County,Colorado,0.8
Gunnison County,Colorado,1.4
Huerfano County,Colorado,3.2
Las Animas County,Colorado,2.4
Montrose County,Colorado,1.1
Phillips County,Colorado,0.5
Pueblo County,Colorado,1.9
San Juan County,Colorado,0.3
Weld County,Colorado,1.1
Windham County,Connecticut,0.5
Alachua County,Florida,0.3
Columbia County,Florida,0.5
Flagler County,Florida,0.3
Highlands County,Florida,0.5
Holmes County,Florida,0.8
Lafayette County,Florida,0.4
Liberty County,Florida,1.1
Marion County,Florida,0.4
Monroe County,Florida,0.4
Okeechobee County,Florida,1
Putnam County,Florida,0.5
Suwannee County,Florida,0.5
Atkinson County,Georgia,0.6
Baker County,Georgia,0.3
Barrow County,Georgia,0.3
Bleckley County,Georgia,0.1
Butts County,Georgia,0.2
Candler County,Georgia,0.1
Chattooga County,Georgia,0.3
Clarke County,Georgia,0.2
Colquitt County,Georgia,0.5
Cook County,Georgia,0.2
Decatur County,Georgia,0.4
Emanuel County,Georgia,0.3
Fayette County,Georgia,0.3
Gilmer County,Georgia,0.3
Valdez-Cordova Census Area,Alaska,13.6
Wade Hampton Census Area,Alaska,95
Cochise County,Arizona,1.2
Maricopa County,Arizona,2.1
Arkansas County,Arkansas,0.2
Boone County,Arkansas,0.7
Clark County,Arkansas,0.4
Conway County,Arkansas,0.7
Drew County,Arkansas,0.2
Garland County,Arkansas,0.6
Howard County,Arkansas,0.7
Johnson County,Arkansas,0.9
Lonoke County,Arkansas,0.5
Montgomery County,Arkansas,0.8
Newton County,Arkansas,1.1
Poinsett County,Arkansas,0.2
St. Francis County,Arkansas,0.5
Searcy County,Arkansas,1.2
Wheeler County,Georgia,0.1
Whitfield County,Georgia,0.6
Wilkinson County,Georgia,0.3
Maui County,Hawaii,0.4
Boise County,Idaho,0.8
Boundary County,Idaho,1.7
Gem County,Idaho,0.6
Jefferson County,Idaho,0.8
Latah County,Idaho,0.6
Minidoka County,Idaho,1.2
Teton County,Idaho,0.3
Bond County,Illinois,0.5
Brown County,Illinois,0.2
Champaign County,Illinois,0.3
Coles County,Illinois,0.2
Cumberland County,Illinois,0.2
Effingham County,Illinois,0.1
Franklin County,Illinois,0.3
Hamilton County,Illinois,0.2
Henderson County,Illinois,0.2
Iroquois County,Illinois,0.2
Johnson County,Illinois,0.2
Knox County,Illinois,0.2
Livingston County,Illinois,0.2
Marion County,Illinois,0.3
Menard County,Illinois,0.3
Moultrie County,Illinois,0.2
Perry County,Illinois,0.2
Putnam County,Illinois,0.1
Schuyler County,Illinois,0.2
Stark County,Illinois,0.2
Tazewell County,Illinois,0.3
Wayne County,Illinois,0.2
Woodford County,Illinois,0.2
Benton County,Indiana,0.1
Cass County,Indiana,0.5
Daviess County,Indiana,0.2
Dubois County,Indiana,0.2
Franklin County,Indiana,0.1
Hamilton County,Indiana,0.2
Howard County,Indiana,0.3
Jennings County,Indiana,0.1
Kosciusko County,Indiana,0.3
Madison County,Indiana,0.2
Martin County,Indiana,0.3
Noble County,Indiana,0.2
Ohio County,Indiana,0.2
Pulaski County,Indiana,0.3
Ripley County,Indiana,0.2
Starke County,Indiana,0.3
Tipton County,Indiana,0.1
Warrick County,Indiana,0.2
Wells County,Indiana,0.3
Whitley County,Indiana,0.3
Benton County,Iowa,0.2
Bremer County,Iowa,0.1
Calhoun County,Iowa,0.2
Cherokee County,Iowa,0.3
Clarke County,Iowa,0.3
Glascock County,Georgia,0.2
Gordon County,Georgia,0.4
Grady County,Georgia,0.7
Hall County,Georgia,0.5
Jackson County,Georgia,0.2
Jones County,Georgia,0.2
Laurens County,Georgia,0.2
Lumpkin County,Georgia,0.6
Marion County,Georgia,0.5
Miller County,Georgia,0.2
Newton County,Georgia,0.2
Peach County,Georgia,0.2
Polk County,Georgia,0.3
Randolph County,Georgia,0.1
Seminole County,Georgia,0.1
Taliaferro County,Georgia,0.1
Tift County,Georgia,0.2
Troup County,Georgia,0.3
Upson County,Georgia,0.3
Washington County,Georgia,0.1
Clay County,Kansas,0.4
Cloud County,Kansas,0.3
Decatur County,Kansas,0.4
Elk County,Kansas,1.5
Graham County,Kansas,0.7
Hamilton County,Kansas,1.2
Jackson County,Kansas,8
Kingman County,Kansas,0.6
Lincoln County,Kansas,0.5
Marion County,Kansas,0.6
Morris County,Kansas,0.5
Ness County,Kansas,0.3
Pawnee County,Kansas,0.6
Reno County,Kansas,0.7
Rooks County,Kansas,0.3
Sedgwick County,Kansas,1.2
Stafford County,Kansas,1.2
Trego County,Kansas,0.2
Wichita County,Kansas,0.5
Wilson County,Kansas,1.1
Adair County,Kentucky,0.2
Allen County,Kentucky,0.3
Bell County,Kentucky,0.2
Breathitt County,Kentucky,0.1
Butler County,Kentucky,0.3
Carter County,Kentucky,0.2
Edmonson County,Kentucky,0.3
Estill County,Kentucky,0.2
Gallatin County,Kentucky,0.1
Grant County,Kentucky,0.2
Hart County,Kentucky,0.2
Hopkins County,Kentucky,0.1
Kenton County,Kentucky,0.2
Lee County,Kentucky,0.3
Logan County,Kentucky,0.2
Madison County,Kentucky,0.3
Metcalfe County,Kentucky,0.1
Montgomery County,Kentucky,0.2
Nelson County,Kentucky,0.1
Ohio County,Kentucky,0.2
Owen County,Kentucky,0.2
Powell County,Kentucky,0.1
Rockcastle County,Kentucky,0.3
Trigg County,Kentucky,0.3
Webster County,Kentucky,0.2
Allen Parish,Louisiana,2.4
Bienville Parish,Louisiana,0.3
Claiborne Parish,Louisiana,0.4
Iberville Parish,Louisiana,0.2
Lafayette Parish,Louisiana,0.3
Livingston Parish,Louisiana,0.4
Pointe Coupee Parish,Louisiana,0.1
St. Charles Parish,Louisiana,0.3
St. James Parish,Louisiana,0.2
Union Parish,Louisiana,0.3
Clinton County,Iowa,0.2
Crawford County,Iowa,0.3
Delaware County,Iowa,0.1
Emmet County,Iowa,0.7
Floyd County,Iowa,0.1
Hamilton County,Iowa,0.2
Henry County,Iowa,0.3
Iowa County,Iowa,0.2
Jones County,Iowa,0.2
Linn County,Iowa,0.3
Madison County,Iowa,0.2
Marion County,Iowa,0.2
Montgomery County,Iowa,0.4
