County,State,Value
Autauga County,Alabama,0.9
Blount County,Alabama,0.2
Chambers County,Alabama,0.5
Chilton County,Alabama,0.3
Colbert County,Alabama,0.4
Dale County,Alabama,1.1
Elmore County,Alabama,0.7
Hale County,Alabama,0.2
Lawrence County,Alabama,0.1
Limestone County,Alabama,1.1
Monroe County,Alabama,0.3
Pickens County,Alabama,0.2
Talladega County,Alabama,0.4
Bethel Census Area,Alaska,0.9
Hoonah-Angoon Census Area,Alaska,0.6
Kenai Peninsula Borough,Alaska,1.1
Kodiak Island Borough,Alaska,19.6
Lake and Peninsula Borough,Alaska,0.4
Nome Census Area,Alaska,1
Northwest Arctic Borough,Alaska,0.6
Prince of Wales-Hyder Census Area,Alaska,0.4
Van Buren County,Arkansas,0.3
White County,Arkansas,0.5
Amador County,California,1.1
Glenn County,California,2.6
Lake County,California,1.1
Mariposa County,California,1.1
Napa County,California,6.8
Shasta County,California,2.5
Stanislaus County,California,5.1
Yuba County,California,6.7
Alamosa County,Colorado,1
Boulder County,Colorado,4.1
Broomfield County,Colorado,6.1
Crowley County,Colorado,1
Denver County,Colorado,3.4
Douglas County,Colorado,3.8
Gilpin County,Colorado,1.4
Gunnison County,Colorado,0.7
Huerfano County,Colorado,0.4
Las Animas County,Colorado,0.7
Montrose County,Colorado,0.6
Phillips County,Colorado,0.6
Pueblo County,Colorado,0.8
San Juan County,Colorado,1.1
Weld County,Colorado,1.2
Windham County,Connecticut,1.2
Alachua County,Florida,5.4
Columbia County,Florida,0.9
Flagler County,Florida,2.1
Highlands County,Florida,1.5
Holmes County,Florida,0.4
Lafayette County,Florida,0.1
Liberty County,Florida,0.2
Marion County,Florida,1.3
Monroe County,Florida,1.1
Okeechobee County,Florida,0.9
Putnam County,Florida,0.6
Suwannee County,Florida,0.5
Atkinson County,Georgia,0.3
Baker County,Georgia,0.7
Barrow County,Georgia,3.4
Bleckley County,Georgia,0.8
Butts County,Georgia,0.5
Candler County,Georgia,0.5
Chattooga County,Georgia,0.4
Clarke County,Georgia,4.2
Colquitt County,Georgia,0.6
Cook County,Georgia,0.7
Decatur County,Georgia,0.5
Emanuel County,Georgia,0.7
Fayette County,Georgia,3.9
Gilmer County,Georgia,0.3
Valdez-Cordova Census Area,Alaska,3.7
Wade Hampton Census Area,Alaska,0.2
Cochise County,Arizona,1.9
Maricopa County,Arizona,3.5
Arkansas County,Arkansas,0.5
Boone County,Arkansas,0.4
Clark County,Arkansas,0.5
Conway County,Arkansas,0.4
Drew County,Arkansas,0.5
Garland County,Arkansas,0.7
Howard County,Arkansas,0.6
Johnson County,Arkansas,0.7
Lonoke County,Arkansas,0.8
Montgomery County,Arkansas,0.5
Newton County,Arkansas,0.3
Poinsett County,Arkansas,0.2
St. Francis County,Arkansas,0.5
Searcy County,Arkansas,0.1
Wheeler County,Georgia,0.2
Whitfield County,Georgia,1.3
Wilkinson County,Georgia,0.3
Maui County,Hawaii,28.8
Boise County,Idaho,0.4
Boundary County,Idaho,0.6
Gem County,Idaho,0.5
Jefferson County,Idaho,0.4
Latah County,Idaho,2.1
Minidoka County,Idaho,0.4
Teton County,Idaho,0.5
Bond County,Illinois,0.4
Brown County,Illinois,0.2
Champaign County,Illinois,8.9
Coles County,Illinois,1
Cumberland County,Illinois,0.2
Effingham County,Illinois,0.4
Franklin County,Illinois,0.3
Hamilton County,Illinois,0.2
Henderson County,Illinois,0.2
Iroquois County,Illinois,0.3
Johnson County,Illinois,0.2
Knox County,Illinois,0.6
Livingston County,Illinois,0.5
Marion County,Illinois,0.6
Menard County,Illinois,0.2
Moultrie County,Illinois,0.2
Perry County,Illinois,0.4
Putnam County,Illinois,0.2
Schuyler County,Illinois,0.1
Stark County,Illinois,0.3
Tazewell County,Illinois,0.7
Wayne County,Illinois,0.4
Woodford County,Illinois,0.6
Benton County,Indiana,0.2
Cass County,Indiana,1.1
Daviess County,Indiana,0.5
Dubois County,Indiana,0.5
Franklin County,Indiana,0.2
Hamilton County,Indiana,4.8
Howard County,Indiana,0.9
Jennings County,Indiana,0.2
Kosciusko County,Indiana,0.8
Madison County,Indiana,0.4
Martin County,Indiana,0.3
Noble County,Indiana,0.4
Ohio County,Indiana,0.3
Pulaski County,Indiana,0.2
Ripley County,Indiana,0.5
Starke County,Indiana,0.2
Tipton County,Indiana,0.4
Warrick County,Indiana,1.6
Wells County,Indiana,0.4
Whitley County,Indiana,0.3
Benton County,Iowa,0.3
Bremer County,Iowa,0.7
Calhoun County,Iowa,0.2
Cherokee County,Iowa,0.5
Clarke County,Iowa,0.4
Glascock County,Georgia,0
Gordon County,Georgia,1
Grady County,Georgia,0.4
Hall County,Georgia,1.8
Jackson County,Georgia,1.7
Jones County,Georgia,0.7
Laurens County,Georgia,1
Lumpkin County,Georgia,0.5
Marion County,Georgia,0.9
Miller County,Georgia,0.5
Newton County,Georgia,0.9
Peach County,Georgia,0.8
Polk County,Georgia,0.7
Randolph County,Georgia,0.3
Seminole County,Georgia,0.4
Taliaferro County,Georgia,0.6
Tift County,Georgia,1.3
Troup County,Georgia,1.6
Upson County,Georgia,0.5
Washington County,Georgia,0.5
Clay County,Kansas,0.3
Cloud County,Kansas,0.2
Decatur County,Kansas,0.2
Elk County,Kansas,0.4
Graham County,Kansas,0.3
Hamilton County,Kansas,0.3
Jackson County,Kansas,0.4
Kingman County,Kansas,0.5
Lincoln County,Kansas,0.2
Marion County,Kansas,0.2
Morris County,Kansas,0.2
Ness County,Kansas,0.1
Pawnee County,Kansas,0.5
Reno County,Kansas,0.5
Rooks County,Kansas,0.4
Sedgwick County,Kansas,4.1
Stafford County,Kansas,0.4
Trego County,Kansas,0.2
Wichita County,Kansas,0.1
Wilson County,Kansas,0.4
Adair County,Kentucky,0.2
Allen County,Kentucky,0.2
Bell County,Kentucky,0.3
Breathitt County,Kentucky,0.5
Butler County,Kentucky,0.2
Carter County,Kentucky,0.2
Edmonson County,Kentucky,0.2
Estill County,Kentucky,0.1
Gallatin County,Kentucky,0.2
Grant County,Kentucky,0.3
Hart County,Kentucky,0.2
Hopkins County,Kentucky,0.6
Kenton County,Kentucky,0.9
Lee County,Kentucky,0.1
Logan County,Kentucky,0.2
Madison County,Kentucky,0.9
Metcalfe County,Kentucky,0.1
Montgomery County,Kentucky,0.3
Nelson County,Kentucky,0.5
Ohio County,Kentucky,0.2
Owen County,Kentucky,0.2
Powell County,Kentucky,0.1
Rockcastle County,Kentucky,0.1
Trigg County,Kentucky,0.3
Webster County,Kentucky,0.3
Allen Parish,Louisiana,0.7
Bienville Parish,Louisiana,0.2
Claiborne Parish,Louisiana,0.2
Iberville Parish,Louisiana,0.3
Lafayette Parish,Louisiana,1.5
Livingston Parish,Louisiana,0.5
Pointe Coupee Parish,Louisiana,0.2
St. Charles Parish,Louisiana,0.8
St. James Parish,Louisiana,0.1
Union Parish,Louisiana,0.1
Clinton County,Iowa,0.6
Crawford County,Iowa,0.6
Delaware County,Iowa,0.3
Emmet County,Iowa,0.4
Floyd County,Iowa,1.3
Hamilton County,Iowa,2
Henry County,Iowa,2.3
Iowa County,Iowa,0.3
Jones County,Iowa,0.4
Linn County,Iowa,1.8
Madison County,Iowa,0.3
Marion County,Iowa,1.1
Montgomery County,Iowa,0.2
O'Brien County,Iowa,0.6
Pocahontas County,Iowa,0.2
Sac County,Iowa,0.2
Story County,Iowa,6
Union County,Iowa,0.5
Warren County,Iowa,0.5
Worth County,Iowa,0.3
Atchison County,Kansas,0.4
Butler County,Kansas,0.7
Hillsdale County,Michigan,0.4
Ionia County,Michigan,0.4
Isabella County,Michigan,1.6
Kalamazoo County,Michigan,2.1
Kent County,Michigan,2.3
Livingston County,Michigan,0.8
Mackinac County,Michigan,0.2
Marquette County,Michigan,0.6
Midland County,Michigan,1.9
Missaukee County,Michigan,0.3
Newaygo County,Michigan,0.4
Osceola County,Michigan,0.2
Roscommon County,Michigan,0.3
Shiawassee County,Michigan,0.4
Washtenaw County,Michigan,7.9
Wexford County,Michigan,0.6
Benton County,Minnesota,1.1
Cottonwood County,Minnesota,2.7
Dodge County,Minnesota,0.4
Douglas County,Minnesota,0.5
Grant County,Minnesota,0.2
Hubbard County,Minnesota,0.2
Kandiyohi County,Minnesota,0.4
Lac qui Parle County,Minnesota,0.4
Le Sueur County,Minnesota,0.6
Lyon County,Minnesota,2.6
Meeker County,Minnesota,0.3
Murray County,Minnesota,0.9
Otter Tail County,Minnesota,0.5
Pope County,Minnesota,0.4
Renville County,Minnesota,0.3
Sherburne County,Minnesota,1.3
Steele County,Minnesota,0.8
Wadena County,Minnesota,0.3
Watonwan County,Minnesota,0.8
Alcorn County,Mississippi,0.3
Benton County,Mississippi,0.1
Choctaw County,Mississippi,0.1
Covington County,Mississippi,0.2
Greene County,Mississippi,0.1
Itawamba County,Mississippi,0.2
Jefferson Davis County,Mississippi,0.1
Kemper County,Mississippi,0.1
Webster Parish,Louisiana,0.3
West Baton Rouge Parish,Louisiana,0.3
Hancock County,Maine,0.8
Piscataquis County,Maine,0.7
Washington County,Maine,0.5
Calvert County,Maryland,1.4
Carroll County,Maryland,1.4
Charles County,Maryland,3
Howard County,Maryland,14.4
Kent County,Maryland,0.8
St. Mary's County,Maryland,2.5
Somerset County,Maryland,0.7
Barnstable County,Massachusetts,1.1
Franklin County,Massachusetts,1.3
Antrim County,Michigan,0.2
Branch County,Michigan,0.5
Clare County,Michigan,0.3
Crawford County,Michigan,0.4
Eaton County,Michigan,1.7
Gladwin County,Michigan,0.3
Iron County,Missouri,0.1
Jasper County,Missouri,1
Knox County,Missouri,0.2
Linn County,Missouri,0.2
Madison County,Missouri,0.3
Marion County,Missouri,0.5
Moniteau County,Missouri,0.4
Morgan County,Missouri,0.4
Perry County,Missouri,0.4
Pulaski County,Missouri,2.6
St. Clair County,Missouri,0.1
Saline County,Missouri,0.5
Sullivan County,Missouri,0.1
Washington County,Missouri,0.2
Webster County,Missouri,0.2
Cascade County,Montana,0.8
Golden Valley County,Montana,0.7
Lake County,Montana,0.4
Madison County,Montana,0.3
Pondera County,Montana,0.2
Silver Bow County,Montana,0.5
Treasure County,Montana,0.4
Wheatland County,Montana,0.6
Adams County,Nebraska,1.4
Blaine County,Nebraska,0
Butler County,Nebraska,0.3
Clay County,Nebraska,0.2
Colfax County,Nebraska,0.3
Dawson County,Nebraska,0.6
Fillmore County,Nebraska,0.2
Frontier County,Nebraska,0.1
Grant County,Nebraska,0.2
Hall County,Nebraska,1
Johnson County,Nebraska,1.4
Kearney County,Nebraska,0.2
Logan County,Nebraska,0.1
McPherson County,Nebraska,0
Nance County,Nebraska,0.1
Pawnee County,Nebraska,0.3
Pierce County,Nebraska,0.2
Polk County,Nebraska,0.1
Saline County,Nebraska,1.6
Sherman County,Nebraska,0.3
Stanton County,Nebraska,0.1
Valley County,Nebraska,0.3
Wheeler County,Nebraska,0.5
Eureka County,Nevada,0.9
Pershing County,Nevada,1.3
White Pine County,Nevada,1
Camden County,New Jersey,5.1
Gloucester County,New Jersey,2.6
Passaic County,New Jersey,5
Bernalillo County,New Mexico,2.3
Lauderdale County,Mississippi,0.7
Leake County,Mississippi,0.2
Leflore County,Mississippi,0.6
Marion County,Mississippi,0.3
Neshoba County,Mississippi,0.3
Perry County,Mississippi,0.2
Quitman County,Mississippi,0.1
Stone County,Mississippi,0.3
Tate County,Mississippi,0.2
Webster County,Mississippi,0.1
Winston County,Mississippi,0.2
Audrain County,Missouri,0.5
Bollinger County,Missouri,0.2
Camden County,Missouri,0.4
