County,State,Value
Autauga County,Alabama,17.7
Blount County,Alabama,1.3
Chambers County,Alabama,38.7
Chilton County,Alabama,9.7
Colbert County,Alabama,16.1
Dale County,Alabama,19.3
Elmore County,Alabama,20
Hale County,Alabama,59
Lawrence County,Alabama,11.5
Limestone County,Alabama,12.6
Monroe County,Alabama,41.7
Pickens County,Alabama,41.6
Talladega County,Alabama,31.7
Bethel Census Area,Alaska,0.4
Hoonah-Angoon Census Area,Alaska,0.4
Kenai Peninsula Borough,Alaska,0.5
Kodiak Island Borough,Alaska,0.7
Lake and Peninsula Borough,Alaska,0.6
Nome Census Area,Alaska,0.3
Northwest Arctic Borough,Alaska,0.5
Prince of Wales-Hyder Census Area,Alaska,0.3
Van Buren County,Arkansas,0.4
White County,Arkansas,4
Amador County,California,2.5
Glenn County,California,0.8
Lake County,California,1.9
Mariposa County,California,0.8
Napa County,California,2
Shasta County,California,0.9
Stanislaus County,California,2.9
Yuba County,California,3.3
Alamosa County,Colorado,1.1
Boulder County,Colorado,0.9
Broomfield County,Colorado,1.1
Crowley County,Colorado,9.6
Denver County,Colorado,10.2
Douglas County,Colorado,1.2
Gilpin County,Colorado,0.5
Gunnison County,Colorado,0.3
Huerfano County,Colorado,0.5
Las Animas County,Colorado,1.4
Montrose County,Colorado,0.4
Phillips County,Colorado,0.4
Pueblo County,Colorado,2
San Juan County,Colorado,0
Weld County,Colorado,1
Windham County,Connecticut,2.2
Alachua County,Florida,20.3
Columbia County,Florida,17.5
Flagler County,Florida,11.4
Highlands County,Florida,9.4
Holmes County,Florida,5.8
Lafayette County,Florida,15.9
Liberty County,Florida,17.9
Marion County,Florida,12.3
Monroe County,Florida,5.7
Okeechobee County,Florida,8
Putnam County,Florida,16.2
Suwannee County,Florida,11.4
Atkinson County,Georgia,17.3
Baker County,Georgia,46.7
Barrow County,Georgia,11.4
Bleckley County,Georgia,27.3
Butts County,Georgia,27.3
Candler County,Georgia,24.4
Chattooga County,Georgia,11.1
Clarke County,Georgia,26.6
Colquitt County,Georgia,22.4
Cook County,Georgia,27.3
Decatur County,Georgia,41.1
Emanuel County,Georgia,33.5
Fayette County,Georgia,20.1
Gilmer County,Georgia,0.5
Valdez-Cordova Census Area,Alaska,0.5
Wade Hampton Census Area,Alaska,0
Cochise County,Arizona,4.2
Maricopa County,Arizona,5
Arkansas County,Arkansas,24.5
Boone County,Arkansas,0.2
Clark County,Arkansas,23.5
Conway County,Arkansas,11.2
Drew County,Arkansas,27.8
Garland County,Arkansas,7.9
Howard County,Arkansas,20.6
Johnson County,Arkansas,1.4
Lonoke County,Arkansas,6
Montgomery County,Arkansas,0.2
Newton County,Arkansas,0.1
Poinsett County,Arkansas,7.2
St. Francis County,Arkansas,51.9
Searcy County,Arkansas,0.1
Wheeler County,Georgia,35.2
Whitfield County,Georgia,3.7
Wilkinson County,Georgia,38.4
Maui County,Hawaii,0.6
Boise County,Idaho,0.2
Boundary County,Idaho,0.3
Gem County,Idaho,0.1
Jefferson County,Idaho,0.2
Latah County,Idaho,0.8
Minidoka County,Idaho,0.4
Teton County,Idaho,0.2
Bond County,Illinois,6.1
Brown County,Illinois,18.5
Champaign County,Illinois,12.4
Coles County,Illinois,3.8
Cumberland County,Illinois,0.3
Effingham County,Illinois,0.2
Franklin County,Illinois,0.3
Hamilton County,Illinois,0.4
Henderson County,Illinois,0.2
Iroquois County,Illinois,0.8
Johnson County,Illinois,8
Knox County,Illinois,7.2
Livingston County,Illinois,4.9
Marion County,Illinois,3.9
Menard County,Illinois,0.6
Moultrie County,Illinois,0.3
Perry County,Illinois,8.3
Putnam County,Illinois,0.5
Schuyler County,Illinois,3.2
Stark County,Illinois,0.5
Tazewell County,Illinois,1
Wayne County,Illinois,0.3
Woodford County,Illinois,0.5
Benton County,Indiana,0.5
Cass County,Indiana,1.5
Daviess County,Indiana,0.5
Dubois County,Indiana,0.3
Franklin County,Indiana,0.2
Hamilton County,Indiana,3.5
Howard County,Indiana,6.9
Jennings County,Indiana,0.8
Kosciusko County,Indiana,0.7
Madison County,Indiana,8.3
Martin County,Indiana,0.1
Noble County,Indiana,0.4
Ohio County,Indiana,0.4
Pulaski County,Indiana,0.7
Ripley County,Indiana,0.2
Starke County,Indiana,0.3
Tipton County,Indiana,0.2
Warrick County,Indiana,1.3
Wells County,Indiana,0.3
Whitley County,Indiana,0.3
Benton County,Iowa,0.4
Bremer County,Iowa,0.8
Calhoun County,Iowa,0.2
Cherokee County,Iowa,0.5
Clarke County,Iowa,0.4
