County,State,Value
Autauga County,Alabama,91.40
Blount County,Alabama,90.30
Chambers County,Alabama,81.90
Chilton County,Alabama,85.90
Colbert County,Alabama,88.40
Dale County,Alabama,88.50
Elmore County,Alabama,86.70
Hale County,Alabama,81.90
Lawrence County,Alabama,89.70
Limestone County,Alabama,89.90
Monroe County,Alabama,81.30
Pickens County,Alabama,84.50
Talladega County,Alabama,86.00
Bethel Census Area,Alaska,78.60
Hoonah-Angoon Census Area,Alaska,51.60
Kenai Peninsula Borough,Alaska,72.50
Kodiak Island Borough,Alaska,87.30
Lake and Peninsula Borough,Alaska,36.80
Nome Census Area,Alaska,70.20
Northwest Arctic Borough,Alaska,70.90
Prince of Wales-Hyder Census Area,Alaska,73.30
Van Buren County,Arkansas,71.90
White County,Arkansas,90.30
Amador County,California,80.80
Glenn County,California,90.90
Lake County,California,74.80
Mariposa County,California,75.50
Napa County,California,89.30
Shasta County,California,91.00
Stanislaus County,California,92.00
Yuba County,California,88.00
Alamosa County,Colorado,91.50
Boulder County,Colorado,93.90
Broomfield County,Colorado,94.60
Crowley County,Colorado,83.80
Denver County,Colorado,92.10
Douglas County,Colorado,95.50
Gilpin County,Colorado,69.10
Gunnison County,Colorado,57.10
Huerfano County,Colorado,61.80
Las Animas County,Colorado,77.70
Montrose County,Colorado,90.30
Phillips County,Colorado,87.20
Pueblo County,Colorado,90.60
San Juan County,Colorado,45.50
Weld County,Colorado,92.80
Windham County,Connecticut,91.30
Alachua County,Florida,89.10
Columbia County,Florida,87.10
Flagler County,Florida,80.60
Highlands County,Florida,76.90
Holmes County,Florida,85.10
Lafayette County,Florida,77.50
Liberty County,Florida,75.20
Marion County,Florida,84.00
Monroe County,Florida,61.80
Okeechobee County,Florida,75.70
Putnam County,Florida,78.80
Suwannee County,Florida,83.20
Atkinson County,Georgia,84.70
Baker County,Georgia,83.10
Barrow County,Georgia,90.80
Bleckley County,Georgia,87.90
Butts County,Georgia,84.20
Candler County,Georgia,84.90
Chattooga County,Georgia,87.00
Clarke County,Georgia,88.90
Colquitt County,Georgia,89.10
Cook County,Georgia,87.00
Decatur County,Georgia,85.70
Emanuel County,Georgia,84.60
Fayette County,Georgia,93.60
Gilmer County,Georgia,68.30
Valdez-Cordova Census Area,Alaska,65.00
Wade Hampton Census Area,Alaska,79.90
Cochise County,Arizona,86.20
Maricopa County,Arizona,86.10
Arkansas County,Arkansas,84.80
Boone County,Arkansas,89.90
Clark County,Arkansas,84.60
Conway County,Arkansas,87.10
Drew County,Arkansas,87.50
Garland County,Arkansas,81.10
Howard County,Arkansas,86.00
Johnson County,Arkansas,86.70
Lonoke County,Arkansas,92.90
Montgomery County,Arkansas,69.40
Newton County,Arkansas,76.60
Poinsett County,Arkansas,89.30
St. Francis County,Arkansas,88.20
Searcy County,Arkansas,72.90
Wheeler County,Georgia,82.00
Whitfield County,Georgia,88.20
Wilkinson County,Georgia,81.70
Maui County,Hawaii,76.60
Boise County,Idaho,56.20
Boundary County,Idaho,85.40
Gem County,Idaho,91.50
Jefferson County,Idaho,93.40
Latah County,Idaho,92.00
Minidoka County,Idaho,93.50
Teton County,Idaho,66.60
Bond County,Illinois,90.70
Brown County,Illinois,85.30
Champaign County,Illinois,92.10
Coles County,Illinois,91.60
Cumberland County,Illinois,89.80
Effingham County,Illinois,92.80
Franklin County,Illinois,89.70
Hamilton County,Illinois,85.00
Henderson County,Illinois,82.30
Iroquois County,Illinois,88.90
Johnson County,Illinois,81.90
Knox County,Illinois,89.40
Livingston County,Illinois,91.90
Marion County,Illinois,88.30
Menard County,Illinois,90.90
Moultrie County,Illinois,92.00
Perry County,Illinois,88.40
Putnam County,Illinois,81.60
Schuyler County,Illinois,87.90
Stark County,Illinois,90.70
Tazewell County,Illinois,94.10
Wayne County,Illinois,89.10
Woodford County,Illinois,94.30
Benton County,Indiana,88.40
Cass County,Indiana,90.20
Daviess County,Indiana,90.80
Dubois County,Indiana,92.80
Franklin County,Indiana,89.90
Hamilton County,Indiana,93.50
Howard County,Indiana,88.70
Jennings County,Indiana,88.50
Kosciusko County,Indiana,78.80
Madison County,Indiana,87.90
Martin County,Indiana,88.10
Noble County,Indiana,86.30
Ohio County,Indiana,89.00
Pulaski County,Indiana,87.20
Ripley County,Indiana,90.30
Starke County,Indiana,82.40
Tipton County,Indiana,91.10
Warrick County,Indiana,93.00
Wells County,Indiana,92.50
Whitley County,Indiana,91.00
Benton County,Iowa,92.90
Bremer County,Iowa,94.70
Calhoun County,Iowa,83.00
Cherokee County,Iowa,90.10
Clarke County,Iowa,90.60
Glascock County,Georgia,76.50
Gordon County,Georgia,88.50
Grady County,Georgia,87.50
Hall County,Georgia,88.20
Jackson County,Georgia,89.90
Jones County,Georgia,90.60
Laurens County,Georgia,87.20
Lumpkin County,Georgia,85.00
Marion County,Georgia,82.30
Miller County,Georgia,86.90
Newton County,Georgia,89.70
Peach County,Georgia,90.10
Polk County,Georgia,89.30
Randolph County,Georgia,76.70
Seminole County,Georgia,73.10
Taliaferro County,Georgia,74.80
Tift County,Georgia,90.30
Troup County,Georgia,88.50
Upson County,Georgia,88.10
Washington County,Georgia,83.40
Clay County,Kansas,88.10
Cloud County,Kansas,83.90
Decatur County,Kansas,75.80
Elk County,Kansas,73.00
Graham County,Kansas,80.60
Hamilton County,Kansas,85.80
Jackson County,Kansas,90.50
Kingman County,Kansas,84.50
Lincoln County,Kansas,76.30
Marion County,Kansas,84.20
Morris County,Kansas,79.70
Ness County,Kansas,78.40
Pawnee County,Kansas,84.50
Reno County,Kansas,91.20
Rooks County,Kansas,80.90
Sedgwick County,Kansas,91.50
Stafford County,Kansas,82.20
Trego County,Kansas,80.70
Wichita County,Kansas,84.50
Wilson County,Kansas,84.00
Adair County,Kentucky,85.00
Allen County,Kentucky,84.30
Bell County,Kentucky,89.60
Breathitt County,Kentucky,88.20
Butler County,Kentucky,86.00
Carter County,Kentucky,87.40
Edmonson County,Kentucky,75.10
Estill County,Kentucky,87.20
Gallatin County,Kentucky,83.50
Grant County,Kentucky,86.60
Hart County,Kentucky,82.90
Hopkins County,Kentucky,89.60
Kenton County,Kentucky,91.00
Lee County,Kentucky,84.70
Logan County,Kentucky,86.40
Madison County,Kentucky,91.20
Metcalfe County,Kentucky,86.60
Montgomery County,Kentucky,89.20
Nelson County,Kentucky,93.10
Ohio County,Kentucky,89.80
Owen County,Kentucky,76.30
Powell County,Kentucky,86.40
Rockcastle County,Kentucky,87.60
Trigg County,Kentucky,75.30
Webster County,Kentucky,88.80
Allen Parish,Louisiana,87.50
Bienville Parish,Louisiana,75.60
Claiborne Parish,Louisiana,77.50
Iberville Parish,Louisiana,87.10
Lafayette Parish,Louisiana,92.90
Livingston Parish,Louisiana,91.70
Pointe Coupee Parish,Louisiana,81.60
St. Charles Parish,Louisiana,93.30
St. James Parish,Louisiana,91.30
Union Parish,Louisiana,80.60
Clinton County,Iowa,93.10
Crawford County,Iowa,92.40
Delaware County,Iowa,88.00
Emmet County,Iowa,89.00
Floyd County,Iowa,91.50
Hamilton County,Iowa,90.60
Henry County,Iowa,92.60
Iowa County,Iowa,92.00
Jones County,Iowa,91.80
Linn County,Iowa,93.40
Madison County,Iowa,91.90
Marion County,Iowa,91.40
Montgomery County,Iowa,87.00
O'Brien County,Iowa,91.30
Pocahontas County,Iowa,85.20
Sac County,Iowa,82.60
Story County,Iowa,94.40
Union County,Iowa,88.80
Warren County,Iowa,94.00
Worth County,Iowa,89.40
Atchison County,Kansas,89.30
Butler County,Kansas,92.10
Hillsdale County,Michigan,81.80
Ionia County,Michigan,89.40
Isabella County,Michigan,90.20
Kalamazoo County,Michigan,91.50
Kent County,Michigan,92.00
Livingston County,Michigan,92.50
Mackinac County,Michigan,45.60
Marquette County,Michigan,80.20
Midland County,Michigan,93.00
Missaukee County,Michigan,64.10
Newaygo County,Michigan,73.40
Osceola County,Michigan,67.60
Roscommon County,Michigan,46.70
Shiawassee County,Michigan,90.60
Washtenaw County,Michigan,93.00
Wexford County,Michigan,77.80
Benton County,Minnesota,93.40
Cottonwood County,Minnesota,89.70
Dodge County,Minnesota,93.90
Douglas County,Minnesota,76.80
Grant County,Minnesota,78.20
Hubbard County,Minnesota,59.20
Kandiyohi County,Minnesota,85.90
Lac qui Parle County,Minnesota,85.50
Le Sueur County,Minnesota,86.60
Lyon County,Minnesota,92.20
Meeker County,Minnesota,86.00
Murray County,Minnesota,81.60
Otter Tail County,Minnesota,67.60
Pope County,Minnesota,73.60
Renville County,Minnesota,89.20
Sherburne County,Minnesota,93.30
Steele County,Minnesota,93.40
Wadena County,Minnesota,82.70
Watonwan County,Minnesota,89.60
Alcorn County,Mississippi,88.10
Benton County,Mississippi,81.30
Choctaw County,Mississippi,83.00
Covington County,Mississippi,87.50
Greene County,Mississippi,84.10
Itawamba County,Mississippi,87.70
Jefferson Davis County,Mississippi,84.70
Kemper County,Mississippi,83.00
Webster Parish,Louisiana,85.50
West Baton Rouge Parish,Louisiana,93.20
Hancock County,Maine,60.30
Piscataquis County,Maine,51.00
Washington County,Maine,62.20
