County,State,Value
Autauga County,Alabama,78.5
Blount County,Alabama,92.6
Chambers County,Alabama,58.8
Chilton County,Alabama,84.1
Colbert County,Alabama,80.5
Dale County,Alabama,74.1
Elmore County,Alabama,76.2
Hale County,Alabama,39.8
Lawrence County,Alabama,77.6
Limestone County,Alabama,80.3
Monroe County,Alabama,55.1
Pickens County,Alabama,56.3
Talladega County,Alabama,65.3
Bethel Census Area,Alaska,11.1
Hoonah-Angoon Census Area,Alaska,47.2
Kenai Peninsula Borough,Alaska,84.6
Kodiak Island Borough,Alaska,55.3
Lake and Peninsula Borough,Alaska,23.3
Nome Census Area,Alaska,16.4
Northwest Arctic Borough,Alaska,11.2
Prince of Wales-Hyder Census Area,Alaska,50.4
Van Buren County,Arkansas,96
White County,Arkansas,91.4
Amador County,California,87
Glenn County,California,71.1
Lake County,California,80.5
Mariposa County,California,88.2
Napa County,California,71.5
Shasta County,California,86.7
Stanislaus County,California,65.6
Yuba County,California,68.4
Alamosa County,Colorado,74.8
Boulder County,Colorado,87.2
Broomfield County,Colorado,86.1
Crowley County,Colorado,77.4
Denver County,Colorado,68.9
Douglas County,Colorado,90.2
Gilpin County,Colorado,94.8
Gunnison County,Colorado,92.4
Huerfano County,Colorado,82.8
Las Animas County,Colorado,83.6
Montrose County,Colorado,86.7
Phillips County,Colorado,89.2
Pueblo County,Colorado,79.4
San Juan County,Colorado,92.6
Weld County,Colorado,82.9
Windham County,Connecticut,89.6
Alachua County,Florida,69.6
Columbia County,Florida,77.9
Flagler County,Florida,82.3
Highlands County,Florida,81
Holmes County,Florida,90.5
Lafayette County,Florida,77.4
Liberty County,Florida,77.3
Marion County,Florida,81
Monroe County,Florida,89.5
Okeechobee County,Florida,77.5
Putnam County,Florida,77.3
Suwannee County,Florida,82.5
Atkinson County,Georgia,62.2
Baker County,Georgia,48.5
Barrow County,Georgia,78.8
Bleckley County,Georgia,70.1
Butts County,Georgia,69.9
Candler County,Georgia,65.9
Chattooga County,Georgia,83.9
Clarke County,Georgia,61.9
Colquitt County,Georgia,64.7
Cook County,Georgia,67
Decatur County,Georgia,54.2
Emanuel County,Georgia,61.6
Fayette County,Georgia,71.1
Gilmer County,Georgia,92.3
Valdez-Cordova Census Area,Alaska,74
Wade Hampton Census Area,Alaska,2.7
Cochise County,Arizona,78.5
Maricopa County,Arizona,73
Arkansas County,Arkansas,71.8
Boone County,Arkansas,96.5
Clark County,Arkansas,71.8
Conway County,Arkansas,84.2
Drew County,Arkansas,68.8
Garland County,Arkansas,86.4
Howard County,Arkansas,71.8
Johnson County,Arkansas,87.2
Lonoke County,Arkansas,89.8
Montgomery County,Arkansas,94.4
Newton County,Arkansas,96.1
Poinsett County,Arkansas,89.9
St. Francis County,Arkansas,44.2
Searcy County,Arkansas,96
Wheeler County,Georgia,61.3
Whitfield County,Georgia,76.6
Wilkinson County,Georgia,58.5
Maui County,Hawaii,34.4
Boise County,Idaho,95.4
