County,State,Value
Loving County,Texas,82.00
Kalawao County,Hawaii,90.00
King County,Texas,286.00
Kenedy County,Texas,416.00
Arthur County,Nebraska,460.00
Blaine County,Nebraska,478.00
Petroleum County,Montana,494.00
McPherson County,Nebraska,539.00
Grant County,Nebraska,614.00
Loup County,Nebraska,632.00
Borden County,Texas,641.00
Thomas County,Nebraska,647.00
Yakutat City and Borough,Alaska,662.00
Banner County,Nebraska,690.00
Harding County,New Mexico,695.00
San Juan County,Colorado,699.00
McMullen County,Texas,707.00
Mineral County,Colorado,712.00
Treasure County,Montana,718.00
Slope County,North Dakota,727.00
Hooker County,Nebraska,736.00
Logan County,Nebraska,763.00
Esmeralda County,Nevada,783.00
Billings County,North Dakota,783.00
Kent County,Texas,808.00
Wheeler County,Nebraska,818.00
Keya Paha County,Nebraska,824.00
Hinsdale County,Colorado,843.00
Golden Valley County,Montana,884.00
Roberts County,Texas,929.00
Hayes County,Nebraska,967.00
Skagway Municipality,Alaska,968.00
Clark County,Idaho,982.00
Terrell County,Texas,984.00
Bristol Bay Borough,Alaska,997.00
Jones County,South Dakota,1006.00
Wibaux County,Montana,1017.00
Daggett County,Utah,1059.00
Camas County,Idaho,1117.00
Sterling County,Texas,1143.00
Carter County,Montana,1160.00
Alpine County,California,1175.00
Prairie County,Montana,1179.00
Garfield County,Montana,1206.00
Motley County,Texas,1210.00
Glasscock County,Texas,1226.00
Greeley County,Kansas,1247.00
Harding County,South Dakota,1255.00
Sioux County,Nebraska,1311.00
Sheridan County,North Dakota,1321.00
Foard County,Texas,1336.00
Sully County,South Dakota,1373.00
Jackson County,Colorado,1394.00
Kiowa County,Colorado,1398.00
Issaquena County,Mississippi,1406.00
Hyde County,South Dakota,1420.00
Wheeler County,Oregon,1441.00
Campbell County,South Dakota,1466.00
Wallace County,Kansas,1485.00
Stonewall County,Texas,1490.00
Cottle County,Texas,1505.00
Rock County,Nebraska,1526.00
Piute County,Utah,1556.00
Irion County,Texas,1599.00
Lake and Peninsula Borough,Alaska,1631.00
Briscoe County,Texas,1637.00
Throckmorton County,Texas,1641.00
Golden Valley County,North Dakota,1680.00
Taliaferro County,Georgia,1717.00
McCone County,Montana,1734.00
Powder River County,Montana,1743.00
Lane County,Kansas,1750.00
Daniels County,Montana,1751.00
Sherman County,Oregon,1765.00
Denali Borough,Alaska,1826.00
Cheyenne County,Colorado,1836.00
Oliver County,North Dakota,1846.00
Gilliam County,Oregon,1871.00
Comanche County,Kansas,1891.00
Meagher County,Montana,1891.00
Armstrong County,Texas,1901.00
Buffalo County,South Dakota,1912.00
Hodgeman County,Kansas,1916.00
Haakon County,South Dakota,1937.00
Deuel County,Nebraska,1941.00
Burke County,North Dakota,1968.00
Steele County,North Dakota,1975.00
Eureka County,Nevada,1987.00
Logan County,North Dakota,1990.00
Edwards County,Texas,2002.00
Dundy County,Nebraska,2008.00
De Baca County,New Mexico,2022.00
Gosper County,Nebraska,2044.00
Mellette County,South Dakota,2048.00
Garfield County,Nebraska,2049.00
Oldham County,Texas,2052.00
Garden County,Nebraska,2057.00
Dolores County,Colorado,2064.00
Divide County,North Dakota,2071.00
Jerauld County,South Dakota,2071.00
Judith Basin County,Montana,2072.00
Boyd County,Nebraska,2099.00
Hoonah-Angoon Census Area,Alaska,2150.00
Keweenaw County,Michigan,2156.00
Wheatland County,Montana,2168.00
Worth County,Missouri,2171.00
Clark County,Kansas,2215.00
Wichita County,Kansas,2234.00
Stanton County,Kansas,2235.00
Menard County,Texas,2242.00
Towner County,North Dakota,2246.00
Rich County,Utah,2264.00
Garfield County,Washington,2266.00
Robertson County,Kentucky,2282.00
Highland County,Virginia,2321.00
Potter County,South Dakota,2329.00
Liberty County,Montana,2339.00
Jeff Davis County,Texas,2342.00
Adams County,North Dakota,2343.00
Sanborn County,South Dakota,2355.00
Faulk County,South Dakota,2364.00
Wrangell City and Borough,Alaska,2369.00
Sedgwick County,Colorado,2379.00
Eddy County,North Dakota,2385.00
Miner County,South Dakota,2389.00
Grant County,North Dakota,2394.00
Culberson County,Texas,2398.00
Griggs County,North Dakota,2420.00
Kidder County,North Dakota,2435.00
Dickens County,Texas,2444.00
McPherson County,South Dakota,2459.00
Renville County,North Dakota,2470.00
Cimarron County,Oklahoma,2475.00
Hettinger County,North Dakota,2477.00
Niobrara County,Wyoming,2484.00
Haines Borough,Alaska,2508.00
Quitman County,Georgia,2513.00
Rawlins County,Kansas,2519.00
Greeley County,Nebraska,2538.00
Kiowa County,Kansas,2553.00
Sheridan County,Kansas,2556.00
Graham County,Kansas,2597.00
Hamilton County,Kansas,2690.00
Gove County,Kansas,2695.00
Aurora County,South Dakota,2710.00
Cheyenne County,Kansas,2726.00
Logan County,Kansas,2756.00
Frontier County,Nebraska,2756.00
Pawnee County,Nebraska,2773.00
Wayne County,Utah,2778.00
Chase County,Kansas,2790.00
Webster County,Georgia,2799.00
Ziebach County,South Dakota,2801.00
McIntosh County,North Dakota,2809.00
Elk County,Kansas,2882.00
Fallon County,Montana,2890.00
Butte County,Idaho,2891.00
Hitchcock County,Nebraska,2908.00
Harmon County,Oklahoma,2922.00
Decatur County,Kansas,2961.00
Stanley County,South Dakota,2966.00
Perkins County,Nebraska,2970.00
Perkins County,South Dakota,2982.00
Trego County,Kansas,3001.00
Douglas County,South Dakota,3002.00
Jackson County,South Dakota,3031.00
Sherman County,Texas,3034.00
Edwards County,Kansas,3037.00
Collingsworth County,Texas,3057.00
Jewell County,Kansas,3077.00
Granite County,Montana,3079.00
Glascock County,Georgia,3082.00
Ness County,Kansas,3107.00
Nelson County,North Dakota,3126.00
Cochran County,Texas,3127.00
Aleutians East Borough,Alaska,3141.00
Brown County,Nebraska,3145.00
Bowman County,North Dakota,3151.00
Sherman County,Nebraska,3152.00
Clay County,Georgia,3183.00
Franklin County,Nebraska,3225.00
Morton County,Kansas,3233.00
Sierra County,California,3240.00
Lincoln County,Kansas,3241.00
Lipscomb County,Texas,3302.00
Rush County,Kansas,3307.00
Woodson County,Kansas,3309.00
Real County,Texas,3309.00
Coke County,Texas,3320.00
Hanson County,South Dakota,3331.00
Foster County,North Dakota,3343.00
Hall County,Texas,3353.00
Upton County,Texas,3355.00
Reagan County,Texas,3367.00
Shackelford County,Texas,3378.00
Sheridan County,Montana,3384.00
Harlan County,Nebraska,3423.00
Bennett County,South Dakota,3431.00
Hand County,South Dakota,3431.00
Baker County,Georgia,3451.00
Schleicher County,Texas,3461.00
Hudspeth County,Texas,3476.00
Costilla County,Colorado,3524.00
Dunn County,North Dakota,3536.00
Emmons County,North Dakota,3550.00
Traverse County,Minnesota,3558.00
Kinney County,Texas,3598.00
Roger Mills County,Oklahoma,3647.00
Sweet Grass County,Montana,3651.00
Chautauqua County,Kansas,3669.00
Donley County,Texas,3677.00
Harper County,Oklahoma,3685.00
Clark County,South Dakota,3691.00
Crockett County,Texas,3719.00
Knox County,Texas,3719.00
Catron County,New Mexico,3725.00
Baylor County,Texas,3726.00
Nance County,Nebraska,3735.00
Lyman County,South Dakota,3755.00
Mercer County,Missouri,3785.00
Baca County,Colorado,3788.00
Hemphill County,Texas,3807.00
Webster County,Nebraska,3812.00
Petersburg Census Area,Alaska,3815.00
Lewis County,Idaho,3821.00
