County,State,Value
Wayne County,Michigan,-240578.00
Cook County,Illinois,-182066.00
Orleans Parish,Louisiana,-140845.00
Cuyahoga County,Ohio,-113856.00
Allegheny County,Pennsylvania,-58318.00
Hamilton County,Ohio,-42929.00
St. Bernard Parish,Louisiana,-31332.00
Erie County,New York,-31225.00
Baltimore city,Maryland,-30193.00
St. Louis city,Missouri,-28895.00
Montgomery County,Ohio,-23909.00
Jefferson Parish,Louisiana,-22914.00
Mahoning County,Ohio,-18732.00
St. Louis County,Missouri,-17361.00
Trumbull County,Ohio,-14804.00
Lucas County,Ohio,-13239.00
Fayette County,Pennsylvania,-12038.00
Washington County,Mississippi,-11840.00
Beaver County,Pennsylvania,-10873.00
Genesee County,Michigan,-10351.00
Saginaw County,Michigan,-9870.00
Essex County,New Jersey,-9664.00
Hampton city,Virginia,-9001.00
Cambria County,Pennsylvania,-8919.00
Kanawha County,West Virginia,-7010.00
Jefferson County,Arkansas,-6843.00
Monroe County,Florida,-6499.00
Bolivar County,Mississippi,-6488.00
Clark County,Ohio,-6409.00
Barnstable County,Massachusetts,-6342.00
Berrien County,Michigan,-5640.00
Leflore County,Mississippi,-5630.00
Hinds County,Mississippi,-5515.00
Mississippi County,Arkansas,-5499.00
Danville city,Virginia,-5356.00
McDowell County,West Virginia,-5216.00
Accomack County,Virginia,-5141.00
Cape May County,New Jersey,-5061.00
Portsmouth city,Virginia,-5030.00
Pinellas County,Florida,-4940.00
Sunflower County,Mississippi,-4919.00
Chautauqua County,New York,-4845.00
Westmoreland County,Pennsylvania,-4824.00
Phillips County,Arkansas,-4688.00
Coahoma County,Mississippi,-4471.00
Richland County,Ohio,-4377.00
St. Landry Parish,Louisiana,-4316.00
Columbiana County,Ohio,-4234.00
Jefferson County,Ohio,-4185.00
Union County,Arkansas,-3990.00
Macon County,Illinois,-3938.00
Lycoming County,Pennsylvania,-3933.00
Harlan County,Kentucky,-3924.00
Henry County,Virginia,-3779.00
Finney County,Kansas,-3747.00
Berkshire County,Massachusetts,-3734.00
Plaquemines Parish,Louisiana,-3715.00
Pike County,Kentucky,-3712.00
Walker County,Alabama,-3690.00
Mercer County,Pennsylvania,-3655.00
Cattaraugus County,New York,-3638.00
Chattahoochee County,Georgia,-3615.00
Jefferson County,Alabama,-3581.00
Lawrence County,Pennsylvania,-3535.00
Armstrong County,Pennsylvania,-3451.00
Niagara County,New York,-3377.00
Grant County,Indiana,-3342.00
McKinley County,New Mexico,-3306.00
Crawford County,Ohio,-3182.00
Elk County,Pennsylvania,-3166.00
Cameron Parish,Louisiana,-3152.00
Orange County,Texas,-3129.00
Morehouse Parish,Louisiana,-3042.00
Laurens County,South Carolina,-3030.00
Floyd County,Kentucky,-2990.00
Ohio County,West Virginia,-2984.00
Huron County,Michigan,-2961.00
Knox County,Illinois,-2917.00
Buchanan County,Virginia,-2880.00
Clay County,Kentucky,-2826.00
Williamsburg County,South Carolina,-2794.00
Halifax County,North Carolina,-2679.00
Ouachita County,Arkansas,-2670.00
Macon County,Alabama,-2653.00
Venango County,Pennsylvania,-2581.00
Dallas County,Alabama,-2545.00
Newport County,Rhode Island,-2545.00
Tuscola County,Michigan,-2537.00
Stark County,Ohio,-2512.00
Harrison County,Mississippi,-2496.00
McKean County,Pennsylvania,-2486.00
Erie County,Ohio,-2472.00
Marshall County,West Virginia,-2412.00
Holmes County,Mississippi,-2411.00
Marion County,South Carolina,-2404.00
Ramsey County,Minnesota,-2395.00
Bay County,Michigan,-2386.00
Grayson County,Virginia,-2384.00
Chambers County,Alabama,-2368.00
Ashley County,Arkansas,-2356.00
San Patricio County,Texas,-2334.00
Desha County,Arkansas,-2333.00
Chicot County,Arkansas,-2317.00
Cerro Gordo County,Iowa,-2296.00
Vermilion County,Illinois,-2294.00
Somerset County,Pennsylvania,-2281.00
Marion County,Illinois,-2254.00
Lyon County,Kansas,-2245.00
Chemung County,New York,-2240.00
Claiborne County,Mississippi,-2227.00
Webster County,Iowa,-2222.00
Breathitt County,Kentucky,-2222.00
Howard County,Indiana,-2212.00
Lee County,Iowa,-2190.00
Wayne County,Indiana,-2180.00
Lowndes County,Alabama,-2174.00
Swift County,Minnesota,-2173.00
Lee County,Arkansas,-2156.00
Whiteside County,Illinois,-2155.00
Allen County,Ohio,-2142.00
Monroe County,Arkansas,-2105.00
Elmore County,Idaho,-2092.00
Wabash County,Indiana,-2072.00
Aroostook County,Maine,-2068.00
Choctaw County,Alabama,-2063.00
Blair County,Pennsylvania,-2055.00
Chickasaw County,Mississippi,-2048.00
Warren County,Pennsylvania,-2048.00
Schuylkill County,Pennsylvania,-2047.00
Adams County,Mississippi,-2043.00
Clarke County,Alabama,-2034.00
Des Moines County,Iowa,-2026.00
Jefferson County,Mississippi,-2014.00
Jackson County,Oklahoma,-1993.00
Hancock County,West Virginia,-1991.00
Greene County,Pennsylvania,-1986.00
Cass County,Indiana,-1964.00
Seneca County,Ohio,-1938.00
Cayuga County,New York,-1937.00
Prowers County,Colorado,-1932.00
Wyoming County,West Virginia,-1912.00
Quitman County,Mississippi,-1894.00
Calhoun County,Michigan,-1839.00
Humphreys County,Mississippi,-1831.00
Rock Island County,Illinois,-1828.00
Saline County,Illinois,-1820.00
Sumner County,Kansas,-1814.00
Lowndes County,Mississippi,-1807.00
Clarion County,Pennsylvania,-1777.00
Rutland County,Vermont,-1758.00
Pemiscot County,Missouri,-1751.00
Clearfield County,Pennsylvania,-1740.00
Arkansas County,Arkansas,-1730.00
Madison County,Indiana,-1722.00
Alpena County,Michigan,-1716.00
Hutchinson County,Texas,-1707.00
Woodbury County,Iowa,-1705.00
Richland County,North Dakota,-1677.00
Sharkey County,Mississippi,-1664.00
Price County,Wisconsin,-1663.00
East Carroll Parish,Louisiana,-1662.00
Cross County,Arkansas,-1656.00
Terrell County,Georgia,-1655.00
Madison Parish,Louisiana,-1635.00
Marinette County,Wisconsin,-1635.00
Faribault County,Minnesota,-1628.00
Kossuth County,Iowa,-1620.00
Iroquois County,Illinois,-1616.00
Crawford County,Pennsylvania,-1601.00
Martinsville city,Virginia,-1595.00
Barbour County,Alabama,-1581.00
Winn Parish,Louisiana,-1581.00
Charlottesville city,Virginia,-1574.00
Twiggs County,Georgia,-1567.00
Williams County,Ohio,-1546.00
Fayette County,West Virginia,-1540.00
Clay County,Arkansas,-1526.00
Kay County,Oklahoma,-1518.00
Wilcox County,Alabama,-1513.00
