County,State,Value
St. Bernard Parish,Louisiana,-46.60
Kalawao County,Hawaii,-38.80
Issaquena County,Mississippi,-38.20
Cameron Parish,Louisiana,-31.50
Orleans Parish,Louisiana,-29.10
Sharkey County,Mississippi,-25.30
Chattahoochee County,Georgia,-24.30
Sheridan County,North Dakota,-22.70
Kiowa County,Kansas,-22.10
Towner County,North Dakota,-21.90
Cimarron County,Oklahoma,-21.40
Cottle County,Texas,-21.00
Bristol Bay Borough,Alaska,-20.70
Jefferson County,Mississippi,-20.70
Tensas Parish,Louisiana,-20.60
Monroe County,Arkansas,-20.50
King County,Texas,-19.70
Esmeralda County,Nevada,-19.40
Culberson County,Texas,-19.40
McDowell County,West Virginia,-19.10
Jewell County,Kansas,-18.80
Lane County,Kansas,-18.80
Claiborne County,Mississippi,-18.80
Washington County,Mississippi,-18.80
Greeley County,Kansas,-18.70
Quitman County,Mississippi,-18.70
Swift County,Minnesota,-18.20
Yakutat City and Borough,Alaska,-18.10
Blaine County,Nebraska,-18.00
Emmons County,North Dakota,-18.00
Sterling County,Texas,-17.90
Grant County,Nebraska,-17.80
Phillips County,Arkansas,-17.70
Cheyenne County,Colorado,-17.70
Campbell County,South Dakota,-17.70
East Carroll Parish,Louisiana,-17.60
Sheridan County,Montana,-17.60
Foard County,Texas,-17.60
Hidalgo County,New Mexico,-17.50
Wells County,North Dakota,-17.50
Taliaferro County,Georgia,-17.30
Cavalier County,North Dakota,-17.30
Miner County,South Dakota,-17.20
Lee County,Arkansas,-17.10
McIntosh County,North Dakota,-17.10
Floyd County,Texas,-17.10
Woodruff County,Arkansas,-16.90
McMullen County,Texas,-16.90
Treasure County,Montana,-16.60
Chicot County,Arkansas,-16.40
Humphreys County,Mississippi,-16.30
Pulaski County,Illinois,-16.20
Keya Paha County,Nebraska,-16.20
Cochran County,Texas,-16.20
Lowndes County,Alabama,-16.10
Baca County,Colorado,-16.10
Bolivar County,Mississippi,-16.00
Nelson County,North Dakota,-15.90
Chautauqua County,Kansas,-15.80
Banner County,Nebraska,-15.80
Grant County,North Dakota,-15.70
Jones County,South Dakota,-15.70
Pocahontas County,Iowa,-15.60
Baker County,Georgia,-15.30
McPherson County,South Dakota,-15.30
Desha County,Arkansas,-15.20
Golden Valley County,Montana,-15.20
Terrell County,Georgia,-15.10
Rawlins County,Kansas,-15.10
Smith County,Kansas,-15.10
Wallace County,Kansas,-15.10
Motley County,Texas,-15.10
Hyde County,South Dakota,-15.00
Cameron County,Pennsylvania,-14.90
Twiggs County,Georgia,-14.80
Leflore County,Mississippi,-14.80
Yukon-Koyukuk Census Area,Alaska,-14.70
Decatur County,Kansas,-14.70
Republic County,Kansas,-14.70
Carter County,Montana,-14.70
Huerfano County,Colorado,-14.60
Coahoma County,Mississippi,-14.60
Mineral County,Colorado,-14.30
Sunflower County,Mississippi,-14.30
Crosby County,Texas,-14.30
Harding County,New Mexico,-14.20
Alexander County,Illinois,-14.10
Coke County,Texas,-14.10
Cheyenne County,Kansas,-13.90
Plaquemines Parish,Louisiana,-13.90
Kittson County,Minnesota,-13.90
Traverse County,Minnesota,-13.90
Boyd County,Nebraska,-13.90
Tillman County,Oklahoma,-13.90
Spink County,South Dakota,-13.90
Kiowa County,Colorado,-13.80
Breathitt County,Kentucky,-13.80
Logan County,North Dakota,-13.80
Iron County,Wisconsin,-13.80
Thayer County,Nebraska,-13.70
Pembina County,North Dakota,-13.70
Eddy County,North Dakota,-13.50
Potter County,South Dakota,-13.50
Sedgwick County,Colorado,-13.40
Accomack County,Virginia,-13.40
Prowers County,Colorado,-13.30
Gallatin County,Illinois,-13.30
Osborne County,Kansas,-13.30
Ontonagon County,Michigan,-13.30
Grayson County,Virginia,-13.30
Daniels County,Montana,-13.20
Douglas County,South Dakota,-13.20
Rock County,Nebraska,-13.10
