County,State,Asian,Black,Hisp. Or Lat.,Native American,Other,White
Autauga County,Alabama,0.9,17.7,2.4,0.4,0.9,78.5
Blount County,Alabama,0.2,1.3,8.1,0.5,4.1,92.6
Chambers County,Alabama,0.5,38.7,1.6,0.2,0.6,58.8
Chilton County,Alabama,0.3,9.7,7.8,0.4,4.2,84.1
Colbert County,Alabama,0.4,16.1,2,0.5,0.9,80.5
Dale County,Alabama,1.1,19.3,5.6,0.7,1.8,74.1
Elmore County,Alabama,0.7,20,2.7,0.4,1.2,76.2
Hale County,Alabama,0.2,59,0.9,0.2,0.3,39.8
Lawrence County,Alabama,0.1,11.5,1.7,5.7,0.8,77.6
Limestone County,Alabama,1.1,12.6,5.5,0.7,3.5,80.3
Monroe County,Alabama,0.3,41.7,1,1.1,0.3,55.1
Pickens County,Alabama,0.2,41.6,1.6,0.1,0.6,56.3
Talladega County,Alabama,0.4,31.7,2,0.3,1,65.3
Bethel Census Area,Alaska,0.9,0.4,1.1,82.9,0.3,11.1
Hoonah-Angoon Census Area,Alaska,0.6,0.4,3.6,41.4,0.3,47.2
Kenai Peninsula Borough,Alaska,1.1,0.5,3,7.4,0.6,84.6
Kodiak Island Borough,Alaska,19.6,0.7,7.3,13.2,2.9,55.3
Lake and Peninsula Borough,Alaska,0.4,0.6,2.6,65.1,0.4,23.3
Nome Census Area,Alaska,1,0.3,1.2,75.8,0.2,16.4
Northwest Arctic Borough,Alaska,0.6,0.5,0.8,81.4,0.2,11.2
Prince of Wales-Hyder Census Area,Alaska,0.4,0.3,2.3,39.7,0.4,50.4
Van Buren County,Arkansas,0.3,0.4,2.7,0.7,0.7,96
White County,Arkansas,0.5,4,3.7,0.6,1.6,91.4
Amador County,California,1.1,2.5,12.5,1.8,3.8,87
Glenn County,California,2.6,0.8,37.5,2.2,19.6,71.1
Lake County,California,1.1,1.9,17.1,3.2,8.4,80.5
Mariposa County,California,1.1,0.8,9.2,2.9,2.8,88.2
Napa County,California,6.8,2,32.2,0.8,14.7,71.5
Shasta County,California,2.5,0.9,8.4,2.8,2.5,86.7
Stanislaus County,California,5.1,2.9,41.9,1.1,19.3,65.6
Yuba County,California,6.7,3.3,25,2.3,11.8,68.4
Alamosa County,Colorado,1,1.1,46,2.8,15.9,74.8
Boulder County,Colorado,4.1,0.9,13.3,0.6,4.5,87.2
Broomfield County,Colorado,6.1,1.1,11.1,0.6,3.3,86.1
Crowley County,Colorado,1,9.6,29,2.4,7.8,77.4
Denver County,Colorado,3.4,10.2,31.8,1.4,11.9,68.9
Douglas County,Colorado,3.8,1.2,7.5,0.4,1.7,90.2
Gilpin County,Colorado,1.4,0.5,4.9,0.8,0.6,94.8
Gunnison County,Colorado,0.7,0.3,8.2,1.4,3.3,92.4
Huerfano County,Colorado,0.4,0.5,35.3,3.2,9,82.8
Las Animas County,Colorado,0.7,1.4,41.6,2.4,8.4,83.6
Montrose County,Colorado,0.6,0.4,19.7,1.1,8.7,86.7
Phillips County,Colorado,0.6,0.4,18.7,0.5,7.9,89.2
Pueblo County,Colorado,0.8,2,41.4,1.9,12.1,79.4
San Juan County,Colorado,1.1,0,12,0.3,3.7,92.6
Weld County,Colorado,1.2,1,28.4,1.1,10.8,82.9
Windham County,Connecticut,1.2,2.2,9.6,0.5,4.2,89.6
Alachua County,Florida,5.4,20.3,8.4,0.3,1.7,69.6
Columbia County,Florida,0.9,17.5,4.9,0.5,1.2,77.9
Flagler County,Florida,2.1,11.4,8.6,0.3,1.6,82.3
Highlands County,Florida,1.5,9.4,17.4,0.5,5.5,81
Holmes County,Florida,0.4,5.8,2.2,0.8,0.4,90.5
Lafayette County,Florida,0.1,15.9,12.1,0.4,4.7,77.4
Liberty County,Florida,0.2,17.9,6.2,1.1,1.9,77.3
Marion County,Florida,1.3,12.3,10.9,0.4,2.9,81
Monroe County,Florida,1.1,5.7,20.6,0.4,1.4,89.5
Okeechobee County,Florida,0.9,8,23.9,1,10.7,77.5
Putnam County,Florida,0.6,16.2,9,0.5,3.6,77.3
Suwannee County,Florida,0.5,11.4,8.7,0.5,3.1,82.5
Atkinson County,Georgia,0.3,17.3,24.3,0.6,17.7,62.2
Baker County,Georgia,0.7,46.7,4.2,0.3,2.5,48.5
Barrow County,Georgia,3.4,11.4,8.7,0.3,3.7,78.8
Bleckley County,Georgia,0.8,27.3,2.3,0.1,0.7,70.1
Butts County,Georgia,0.5,27.3,2.5,0.2,0.7,69.9
Candler County,Georgia,0.5,24.4,11.2,0.1,8,65.9
Chattooga County,Georgia,0.4,11.1,4,0.3,2.6,83.9
