"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06",37,1,3.01,3.59,2.98,2.86,2.54,2.21,2.52,1.94,2.39,2.72,2.43,2.25,2.67,2.72,2.23,1.95,1.82,1.76,1.85,1.91,1.95,1.82,2.35,2.74,2.65,3.39,2.46,2.72,2.02,2.46,1.92,2.23,2,2.03,2.11,2.26,1.81,2.06,1.97,2.04,1.78,1.7,1.79,1.69,1.88,1.91,2.08,2.04,1.94,2.21,1.83,1.7,1.78,1.99,3.72,2.19,2.29,2.41,3.19,2.84,3.56,3.96,3.91,4.15,3.41,1.92,1.75,2.11,2.15,2.21,2.89,2.82,3.23,4.17,2.98,4.16,4,4.79,4.32,5.2,6.85,7.58,9.4,10.98,12.74,15.49,15.56,15.55,16.53,18.39,20.88,21.55,26.36,27.19,29.6,31.67,32.58,31.75,28.76,31.91,29.91,26.36,27.74,29.87,27.04,32.85,30.75,31.45,33.58,34.86,32.95,34.33,32.13,34.35,34.18,34.6,32.15,33.87,35.31,33.4,37.84,38.48,39.43,30.26,35.28,35.47,31.75,33.43,33.28,37.41,35.75,38.77,39.79,35.66,41.48,33.39,32.47,30.75,31.18,31.03,30.29,30.45,30.44,28.72,27.19,26.34,23.45,19.97,20.48,16.93,15.96,14.95,14.52,14.96,15.13,15.32,13.6,12.8,12.44,11.18,10.96,11.6,10.37,9.94,9.95,9.63,9.47,10.06,9.38,10.57,8.67,8.88,8.5,7.35,7.76,7.8,8.52,7.76
"Cook","IL","Chicago","17",31,2,2.17,2.46,1.95,3.45,1.98,2.17,2.04,1.81,1.97,2.04,1.87,1.98,2.89,1.98,2.91,2.83,2.59,2.01,1.72,1.62,1.81,1.79,2.27,2.01,2.31,3.42,3.03,2.81,2.89,1.67,2.2,2.86,2.24,2.23,2.87,2.66,2.76,2.73,3.04,2.45,2.45,2.43,2.67,2.05,2.37,2.45,2.36,2.69,2.93,3.4,3.05,3.05,2.72,3.43,2.86,2.91,2.69,3.06,3.48,4.31,3.47,3.71,4.02,3.41,3.26,3.78,4.15,3.26,3.74,4.62,4.27,5.55,5.32,5.31,5.02,6.31,4.93,5.27,5.54,5.7,6.34,7.42,8.62,10.22,10.74,15.24,13.54,14.32,13.39,13.82,13.67,14.99,16.26,19.65,20.9,23,26.73,30.37,31.49,30.6,30.86,30,28.59,27.94,31.21,30.1,33.86,32.33,38.62,40.82,39.95,37.08,36.67,35.41,37.33,39.4,38.32,44.21,41.57,38.7,43.55,46.53,46.33,44.4,46.35,42.76,41.71,42.45,46.4,43.08,46.1,45.02,47.77,50.4,52.68,50.13,49.67,49.62,47.78,48.1,48.5,50.15,49.38,47.85,50.15,53.3,53.75,49.38,45.4,44.52,41.12,39.26,41.38,39.58,36.85,37.11,37.31,38.05,38.14,37.45,34.27,30.89,33.06,32.11,29.98,32.91,30.56,31.39,31.77,32.06,32.86,31,30.38,26.2,26.59,26.15,26.81,26.03
"Harris","TX","Houston","48",201,3,5.79,6.26,4.44,5.97,4.56,6.02,6.17,5.33,6.14,5.99,6.8,6.17,6.31,6.47,6.69,5.99,6.39,6.08,5.37,5.5,7.1,5.21,6.26,6.47,6.4,5.3,4.5,5.43,5.87,5.89,6.18,5.75,6.63,5.68,6.3,6.2,2.77,3.45,2.52,2.98,2.34,2.89,2.85,2.94,2.35,2.55,3.16,3.89,2.64,2.68,2.04,2.62,3.59,2.59,2.19,1.7,3.12,2.53,2.99,3.27,2.72,5.01,3.68,2.68,4.2,3.1,3.44,3.34,3.49,4.65,4.2,5.63,8.59,5.81,5.63,6.07,6.73,7.15,7.35,8.14,6.99,8.15,8.3,7.5,13.37,12.96,15.09,14.87,14.95,14.37,13.98,15.51,16.82,14.77,15.64,15.53,16.57,17.98,17.99,15.96,19.19,15.95,17.69,17.09,17.22,13.11,16.44,17.85,19.94,16.16,16.02,19.72,20.12,19.52,22.85,21.36,22.35,20.9,23.59,24.82,23.94,26.17,25.84,26.65,25.04,24.54,24.44,24.9,27.03,25.4,25.37,27.68,27.44,27.17,28.06,25.1,25.15,25.47,24.81,26.97,25.25,25.54,24.51,28.45,26.76,23.04,20.2,23.84,22.42,21.15,20.95,22.8,22.58,21.99,19.51,18.21,19.81,19.52,19.33,17.5,18.56,11.11,16.45,18.05,19.91,16.22,15.43,14.41,20.48,13.86,16.47,15.27,11.81,11.31,13.37,13.51,13.46,13.26
"Maricopa","AZ","Phoenix","04",13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.77,45.37,47.71,48.17,47.55,46.92,45.23,40.08,37.83,39.57,36.89,36.92,31.42,31.63,28.76,27.92,27.38,23.23,26.12,25.46,25.54,24.19,24.75,24.07,17.79,18.85,20.81,19.91,18.2,19.45,18.74,20.19,20,20.33,19.29,20.5,19.8,18.83,21.54,17.88,19.87,18.67,18.89,17.06,18.91
"San Diego","CA","San Diego","06",73,5,9.07,9.02,8.75,6.3,7.68,7.3,7.03,7.43,6.76,6.68,8.46,6.79,5,5.17,4.19,3.41,3.7,2.66,3.13,3.63,4.07,2.78,4.27,4.53,3.55,3.6,3.46,2.95,2.54,2.01,2.5,2.72,3.15,3.05,3.17,3.41,2.79,2.76,2.69,2.81,2.18,2.14,2.22,2.77,3.31,3.84,3.99,3.76,3.37,3.1,2.52,2.82,2.39,3.49,3.55,4.15,3.66,3.27,4.46,6.02,4.51,3.63,4.94,5.22,4.86,7.01,8.1,8.25,8.8,9.62,9.44,11.37,10.76,12.17,10.56,12.62,13.32,13.35,14.85,15.79,17.54,18.45,18.49,21.73,26.65,27.86,29.03,26.99,39.24,28.39,33.09,33.98,39.13,42.71,43.8,46.03,47.84,51.01,48.56,46.4,44.23,43.99,39.74,39.54,41.64,40.85,42.85,42.6,47.71,47.9,44.88,47.46,43.96,43.37,40.94,42.56,43.07,42.64,43,41.19,47.61,46.37,45.6,43.71,45.34,43.33,41.26,45.01,45.04,46.23,42.11,45.28,46.7,47.9,42.29,44.11,38.6,39.55,37.4,39.83,37.96,36.57,37.55,35.33,34.89,35.29,26.81,25.67,24.92,21.34,21.21,19.26,19.84,20.98,19.25,22.23,20.1,17.17,16.53,16.7,14.83,16.68,14.37,13.41,13.49,14.27,14.13,15.95,13.06,12.95,12.86,12.49,13.05,10.78,11.08,12.25,10.97,10.74
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06",59,6,3.26,1.07,1.56,1.46,1.09,1.07,1.42,0.99,1.62,1.49,2.08,1.49,4.81,1.95,1.25,1.34,1.23,1.25,1.29,1.21,1.43,1.36,1.26,1.57,4.85,1.13,1.26,1.31,1.3,1.41,1.07,1.22,1.44,1.6,1.38,1.16,3.16,0.9,1.63,1.21,1.09,0.9,1.06,1.38,1.56,1.73,1.7,1.76,4.82,1.6,1.13,1.55,1.29,1.11,1.85,1.44,1.34,1.82,1.82,1.51,3.57,1.84,1.7,1.25,1.37,2,2.37,2.14,2.61,3.22,5.44,6.02,4.39,5.11,6.57,5.72,6.69,8.01,8.19,7.62,11.51,13.26,12.91,19.66,21.41,23.63,20.94,24.03,26.91,29.61,28.02,29.81,32.55,35.74,39.63,41.35,44.71,43.5,39.7,40.63,36.04,35.34,33.19,36.86,34.63,35.78,34.17,39.41,42.37,43.61,40.34,38.07,35.02,38.72,37.49,34.39,37.33,37.86,37.19,39.18,40.65,43.04,38.6,38.78,39.08,36.19,38.5,37.86,36.8,38.43,41.67,43.54,38.82,45.47,40.99,39.02,38.08,36.34,33.82,33.86,34.18,32.19,32.65,32.87,31.49,29.35,25.43,22.47,19.19,18.53,17.21,16.64,16.64,15.83,16.67,16.68,15.73,13.83,13.77,14.2,12.75,12.83,12.66,12.81,12.51,13.16,10.62,13.12,13.56,10.99,11.77,12.34,11.4,9.73,11.96,10.81,9.13,9.43
"Kings","NY","New York","36",47,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,11.46,14.71,10.73,10.51,11.08,11.08,22.41,13.19,13.85,16.21,14.96,15.13,15.84,10.49,11.96,8.25,12.08,9.83,10.65,7.54,10.26,12.71,11.32,11.82,13.43,6.59,7.58,7.26,7.48,6.18,6.05,6.72,8.23,7.97,7.32,7.83,7.65,8.19,8.4,5.31,14.96,5.48,7.64,6.84,3.46,6.57,6.41,6.02,5.21,3.5,4.92,5.15,5.17,5.23,2.2
"Miami-Dade","FL","Miami-Fort Lauderdale","12",86,8,4.25,4.34,6.27,4.78,4.24,3.83,3.53,2.98,3.84,3.72,4.02,3.95,3.23,3.15,2.92,2.79,2.58,2.48,3.38,3.4,2.86,2.64,2.01,2.46,3.18,3.02,2.52,3.31,2.33,2.22,2.64,2.15,2.55,2.67,2.42,2.38,3.42,3.06,2.68,2.79,2.12,2.28,2.59,1.6,1.81,2.44,3.82,3.39,3.62,3.74,5.84,6.36,7.18,7.55,11.53,10.32,11.07,9.38,8.67,8.09,8.24,7.9,6.52,4.92,4.8,4,4.24,5.85,4.99,5.67,5.81,5.48,4.47,4.7,4.13,5.02,4.91,5.42,5.28,6.58,7.08,9.1,9.36,11.3,9.81,13.44,14.34,16.25,18.6,19.11,18.72,23.02,26.78,28.34,34.14,32.13,39.81,42.31,39.52,37.33,43.46,40.53,41.81,38.79,44.98,44.43,40.32,48.77,53.77,52.19,50.84,46.14,46.69,46.02,42.32,41.38,52.55,50.26,48.98,50.36,52.76,55.86,50.57,47.5,48.22,44.46,37.89,46.43,43.64,48.3,47.45,53.32,46.35,49.1,43.55,39.07,37.66,39.58,37.57,40.83,37.87,40.81,37.99,33.91,41.45,34.27,31.5,30.51,28.68,29.02,24.84,25.98,23.62,25.71,19.39,25.49,24.88,23.3,16.2,19.15,22,16.17,16.87,18.13,18.18,17.75,16.41,17.79,17.58,16.32,17.96,13.07,14.76,15.18,14.89,16.52,15.21,14.65
"Dallas","TX","Dallas-Fort Worth","48",113,9,3.42,3.43,3.06,2.72,3.55,2.68,2.82,3.58,3.25,2.74,2.93,3.63,4.29,3.65,3.59,2.86,3.06,3.23,2.73,4.75,3.67,4.22,3.82,3.85,3.62,2.85,3.81,3.8,4.58,3.6,3.76,4.31,3.86,3.95,4.96,4.42,3.14,2.16,3.05,2.57,3.48,3.76,2.59,2.15,2.25,2.19,2.51,2.91,2.64,2.69,8.12,2.31,4.19,3.18,3.44,3.73,3.64,2.88,5.73,4.35,3.55,3.38,4.49,3.91,4.17,4.75,4.28,3.36,4.45,4.91,5.18,3.9,6.04,7.14,6.54,5.38,7.42,4.8,4.85,5.01,5,4.7,7.29,6.33,9.16,8.24,8.51,7.77,7.99,11.34,9.52,7.97,9.59,13.5,10.09,13.68,12.46,15.85,10.19,11.99,13.1,14.52,12.8,13.92,11.76,13.1,15.4,12.81,13.57,15.59,18.55,19.7,20.07,20.54,20.19,23.69,21.18,23.88,23.92,26.57,25.8,25.1,24.27,26.32,21.42,27.17,26.49,26.12,29.34,29.08,28.77,26.61,30.8,28.99,29.51,26.42,26.15,28.11,26.36,25.47,28.66,27.48,26.4,24.14,28.2,26.03,23.98,20.44,20.85,17.73,17.33,17.81,18.54,18.15,19.72,18.46,18.77,17.8,17.67,14.24,15.97,16.31,15.03,12.6,13.49,13.45,13.46,12.76,14.65,13.58,12.88,12.06,12,15.84,14.66,15.61,15.49,13.13
"Queens","NY","New York","36",81,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.37,1.63,0.69,0.33,1.33,0.55,1.69,0.73,0.23,0,0.86,1.53,2.41,0.95,1.36,1.42,1.01,0.62,2.04,1.35,1.48,1.83,2.51,0.55,2.56,1.87,1.17,2.11,1.55,2.73,2.45,1.61,1.86,1.33,1.62,2.16,1.65,1.99,1.79,2.48,2.33,1.89,1.97,3.78,3.54,2.17,3.2,3.97,4.43,3.18,4.35,3.89,3.46,5.12,6.17,6.16,7.22,8.78,10.43,10.38,8.5,10.32,10.82,10.26,12,12.62,15.32,11.15,15.55,14.68,12.55,15.52,14.11,16.01,10.9,15.19,15.67,15.26,13,12.1,18.86,19.78,16.43,15.91,18.12,15.13,16.84,16.93,18.23,13.97,14.73,14.72,17.83,18.16,15.93,19.53,13.08,16.59,18.29,17.1,17.71,15.88,16.43,18,19.71,18.4,23.26,14.46,17.66,18.97,15.99,15.32,16.71,13.88,18.2,14.94,20.36,18,19.29,14.82,15.7,16.37,14.72,15.24,16.52,16.61,16.22,14.9,17.38,11.66,14.38,15.38,14.14,10.54,11.62,11.85,13.76,12.6,10.43,13.1,14.66,13.88,12.26,17.16,12.56,8.13,9.97,10.46,8.33
