County,State,Value
Autauga County,Alabama,2
Blount County,Alabama,2.2
Chambers County,Alabama,2.8
Chilton County,Alabama,2.6
Colbert County,Alabama,2.4
Dale County,Alabama,1.8
Elmore County,Alabama,2.6
Hale County,Alabama,0.9
Lawrence County,Alabama,1.4
Limestone County,Alabama,2.7
Monroe County,Alabama,1.8
Pickens County,Alabama,1.1
Talladega County,Alabama,2.8
Bethel Census Area,Alaska,0.9
Hoonah-Angoon Census Area,Alaska,6
Kenai Peninsula Borough,Alaska,2.4
Kodiak Island Borough,Alaska,0.9
Lake and Peninsula Borough,Alaska,0.3
Nome Census Area,Alaska,0.9
Northwest Arctic Borough,Alaska,0
Prince of Wales-Hyder Census Area,Alaska,2.2
Van Buren County,Arkansas,2.8
White County,Arkansas,1.7
Amador County,California,3.1
Glenn County,California,1.9
Lake County,California,4.5
Mariposa County,California,2.7
Napa County,California,2.4
Shasta County,California,2.2
Stanislaus County,California,2.7
Yuba County,California,3.6
Alamosa County,Colorado,1.5
Boulder County,Colorado,1.8
Broomfield County,Colorado,2.1
Crowley County,Colorado,3.4
Denver County,Colorado,3.6
Douglas County,Colorado,1.9
Gilpin County,Colorado,3.7
Gunnison County,Colorado,4.7
Huerfano County,Colorado,4.5
Las Animas County,Colorado,3.3
Montrose County,Colorado,2.7
Phillips County,Colorado,2.4
Pueblo County,Colorado,2.6
San Juan County,Colorado,4.1
Weld County,Colorado,2.7
Windham County,Connecticut,2
Alachua County,Florida,3.1
Columbia County,Florida,2.9
Flagler County,Florida,4.3
Highlands County,Florida,4.6
Holmes County,Florida,1.8
Lafayette County,Florida,1.7
Liberty County,Florida,2.2
Marion County,Florida,4.3
Monroe County,Florida,5.4
Okeechobee County,Florida,3.7
Putnam County,Florida,3.9
Suwannee County,Florida,2.8
Atkinson County,Georgia,1.5
Baker County,Georgia,0.8
Barrow County,Georgia,4
Bleckley County,Georgia,1.8
Butts County,Georgia,3.6
Candler County,Georgia,2.7
Chattooga County,Georgia,2.3
Clarke County,Georgia,4.1
Colquitt County,Georgia,1.7
Cook County,Georgia,2.4
Decatur County,Georgia,2.3
Emanuel County,Georgia,1.1
Fayette County,Georgia,2.4
Gilmer County,Georgia,4.9
Valdez-Cordova Census Area,Alaska,1.9
Wade Hampton Census Area,Alaska,0.1
Cochise County,Arizona,3.2
Maricopa County,Arizona,4.1
Arkansas County,Arkansas,1.6
Boone County,Arkansas,2.4
Clark County,Arkansas,1.9
Conway County,Arkansas,1.6
Drew County,Arkansas,1.7
Garland County,Arkansas,3.3
Howard County,Arkansas,1.3
Johnson County,Arkansas,2.2
Lonoke County,Arkansas,2.1
Montgomery County,Arkansas,1.6
Newton County,Arkansas,2.1
Poinsett County,Arkansas,1.3
St. Francis County,Arkansas,2
Searcy County,Arkansas,1.5
Wheeler County,Georgia,0.6
Whitfield County,Georgia,3.1
Wilkinson County,Georgia,2.6
Maui County,Hawaii,2.4
Boise County,Idaho,4.7
Boundary County,Idaho,2.9
Gem County,Idaho,3.1
Jefferson County,Idaho,1.9
Latah County,Idaho,1.8
Minidoka County,Idaho,1.7
Teton County,Idaho,9.1
Bond County,Illinois,1.6
Brown County,Illinois,1.5
Champaign County,Illinois,2.4
Coles County,Illinois,1.8
Cumberland County,Illinois,1.3
Effingham County,Illinois,1.6
Franklin County,Illinois,2.2
Hamilton County,Illinois,1.5
Henderson County,Illinois,1.8
Iroquois County,Illinois,2.2
Johnson County,Illinois,2.2
Knox County,Illinois,2.1
Livingston County,Illinois,2.3
Marion County,Illinois,1.9
Menard County,Illinois,1.7
Moultrie County,Illinois,1.8
Perry County,Illinois,1.5
Putnam County,Illinois,2.9
Schuyler County,Illinois,1.1
Stark County,Illinois,2
Tazewell County,Illinois,1.8
Wayne County,Illinois,1.5
Woodford County,Illinois,1.5
Benton County,Indiana,2.4
Cass County,Indiana,2.7
Daviess County,Indiana,2.1
Dubois County,Indiana,1.9
Franklin County,Indiana,1.7
Hamilton County,Indiana,2
Howard County,Indiana,3.3
Jennings County,Indiana,2.3
Kosciusko County,Indiana,2.6
Madison County,Indiana,3.3
Martin County,Indiana,1
Noble County,Indiana,2.7
Ohio County,Indiana,2.6
Pulaski County,Indiana,1.8
Ripley County,Indiana,1.7
Starke County,Indiana,2.6
Tipton County,Indiana,1.9
Warrick County,Indiana,1.7
Wells County,Indiana,1.9
Whitley County,Indiana,2
Benton County,Iowa,1.7
Bremer County,Iowa,1.3
Calhoun County,Iowa,1.5
Cherokee County,Iowa,1.5
Clarke County,Iowa,2.8
Glascock County,Georgia,1.2
Gordon County,Georgia,3.6
Grady County,Georgia,2
Hall County,Georgia,3.8
Jackson County,Georgia,3.9
Jones County,Georgia,2.2
Laurens County,Georgia,1.8
Lumpkin County,Georgia,4.4
Marion County,Georgia,2.4
Miller County,Georgia,1.3
Newton County,Georgia,4.1
Peach County,Georgia,2.6
Polk County,Georgia,2.7
Randolph County,Georgia,1.2
Seminole County,Georgia,3.7
Taliaferro County,Georgia,1.7
Tift County,Georgia,2
Troup County,Georgia,3.5
Upson County,Georgia,2.5
Washington County,Georgia,2
Clay County,Kansas,2.1
Cloud County,Kansas,2.3
Decatur County,Kansas,3.8
Elk County,Kansas,1.7
Graham County,Kansas,1.2
Hamilton County,Kansas,2.3
Jackson County,Kansas,1.6
Kingman County,Kansas,1.6
Lincoln County,Kansas,1.9
Marion County,Kansas,2.6
Morris County,Kansas,2.2
Ness County,Kansas,0.5
Pawnee County,Kansas,1.8
Reno County,Kansas,1.7
Rooks County,Kansas,1.9
Sedgwick County,Kansas,2.2
Stafford County,Kansas,1.7
Trego County,Kansas,1.2
Wichita County,Kansas,1.7
Wilson County,Kansas,2.8
Adair County,Kentucky,2.1
Allen County,Kentucky,2.8
Bell County,Kentucky,1.6
Breathitt County,Kentucky,1
Butler County,Kentucky,1.4
Carter County,Kentucky,1.8
Edmonson County,Kentucky,1.6
Estill County,Kentucky,1.7
Gallatin County,Kentucky,3.8
Grant County,Kentucky,2.9
Hart County,Kentucky,1.9
Hopkins County,Kentucky,2.2
Kenton County,Kentucky,3
Lee County,Kentucky,1.1
Logan County,Kentucky,2.2
Madison County,Kentucky,2.7
Metcalfe County,Kentucky,1.6
Montgomery County,Kentucky,2.8
Nelson County,Kentucky,2
Ohio County,Kentucky,1.4
Owen County,Kentucky,3.1
Powell County,Kentucky,2.5
Rockcastle County,Kentucky,1.4
Trigg County,Kentucky,3.1
Webster County,Kentucky,1
Allen Parish,Louisiana,1.1
Bienville Parish,Louisiana,0.7
Claiborne Parish,Louisiana,1.1
Iberville Parish,Louisiana,1
Lafayette Parish,Louisiana,1.8
Livingston Parish,Louisiana,2.1
Pointe Coupee Parish,Louisiana,1.2
St. Charles Parish,Louisiana,1.1
St. James Parish,Louisiana,0.8
Union Parish,Louisiana,1.3
Clinton County,Iowa,1.8
Crawford County,Iowa,1.7
Delaware County,Iowa,1.2
Emmet County,Iowa,2.5
Floyd County,Iowa,2
Hamilton County,Iowa,2.4
Henry County,Iowa,1.6
Iowa County,Iowa,1.8
Jones County,Iowa,2
Linn County,Iowa,1.9
Madison County,Iowa,1.9
Marion County,Iowa,2.3
Montgomery County,Iowa,2.8
O'Brien County,Iowa,1.8
Pocahontas County,Iowa,2.7
Sac County,Iowa,1.8
Story County,Iowa,2.3
Union County,Iowa,2.6
Warren County,Iowa,1.7
Worth County,Iowa,2.9
Atchison County,Kansas,2.6
Butler County,Kansas,1.8
Hillsdale County,Michigan,2.9
Ionia County,Michigan,2.6
Isabella County,Michigan,2
Kalamazoo County,Michigan,2.4
Kent County,Michigan,2.2
Livingston County,Michigan,2
Mackinac County,Michigan,3.5
Marquette County,Michigan,1.8
Midland County,Michigan,1.8
Missaukee County,Michigan,3.6
Newaygo County,Michigan,2.9
Osceola County,Michigan,3.4
Roscommon County,Michigan,5.1
Shiawassee County,Michigan,2.5
Washtenaw County,Michigan,2.1
Wexford County,Michigan,3.9
Benton County,Minnesota,1.8
Cottonwood County,Minnesota,2.2
Dodge County,Minnesota,2.1
Douglas County,Minnesota,2.1
Grant County,Minnesota,3.1
Hubbard County,Minnesota,3.5
Kandiyohi County,Minnesota,2
Lac qui Parle County,Minnesota,2.5
Le Sueur County,Minnesota,2.1
Lyon County,Minnesota,2.2
Meeker County,Minnesota,2
Murray County,Minnesota,1.9
Otter Tail County,Minnesota,2.5
Pope County,Minnesota,2.9
Renville County,Minnesota,2.4
Sherburne County,Minnesota,1.9
Steele County,Minnesota,2.2
Wadena County,Minnesota,2.4
Watonwan County,Minnesota,2.1
Alcorn County,Mississippi,1.9
Benton County,Mississippi,2
Choctaw County,Mississippi,1.1
Covington County,Mississippi,0.8
Greene County,Mississippi,0.9
Itawamba County,Mississippi,1.2
Jefferson Davis County,Mississippi,1
Kemper County,Mississippi,0.6
Webster Parish,Louisiana,1.1
West Baton Rouge Parish,Louisiana,0.5
Hancock County,Maine,3.6
Piscataquis County,Maine,4.3
Washington County,Maine,4.3
Calvert County,Maryland,1.8
Carroll County,Maryland,1.3
Charles County,Maryland,2.4
Howard County,Maryland,1.2
Kent County,Maryland,4
St. Mary's County,Maryland,1.9
Somerset County,Maryland,4.4
Barnstable County,Massachusetts,2.6
Franklin County,Massachusetts,1.6
Antrim County,Michigan,4.2
Branch County,Michigan,3
Clare County,Michigan,4
Crawford County,Michigan,3.4
Eaton County,Michigan,2.3
